doi,hits,age,citation,datarank_value,i
U61276,409,16.0,1,0.6347499075954189,309239093473
U94788,336,15.0,6,3.5395379056405796,309239097291
AB713309,122,0.0,1,1.0044811320754716,309238412463
AL009126,472,15.0,27,3.217549724251384,335009158353
CP000253,346,6.0,18,2.0681111688161757,309239518696
JX869059,476,0.0,2,1.1363636363636362,326436290621
DQ384110,586,16.0,1,0.5984768248991938,309239559291
CP000521,613,6.0,6,1.1367609777678362,309239521358
U55762,595,16.0,19,7.002638603138047,317844870271
AM236080,98,6.0,1,1.7539669345591486,335009165167
CR628336,188,8.0,3,0.8895539592656101,309239525377
M74088,654,21.0,3,0.7995622242184858,309239051986
U82828,77,16.0,3,1.703075338772707,309239095513
AP012030,117,2.0,1,1.0195986668830093,309239340141
AM270980,134,6.0,3,0.9181515629267697,335022942387
AE001273,562,14.0,15,2.9285226566639837,309239444619
AE016830,141,9.0,6,1.3610852168399312,309239791916
AP009351,266,5.0,12,1.4019888416469692,309239339470
U43746,269,17.0,14,1.6218833028244806,309239091085
V01146,88,19.0,5,2.3362634259933626,309243033076
X80725,91,18.0,6,0.8863030967308524,335009071598
AM774415,146,5.0,3,0.9108101473062369,309239331744
AE004092,185,11.0,19,2.4234001469574507,309239444648
AY738222,126,8.0,1,0.7930992136071036,317844909873
CP000002,280,8.0,5,2.595758750903144,309239517008
CP002290,107,2.0,2,0.9542118843915912,335009108163
DQ433281,181,6.0,1,0.8195054054041412,326428045234
AF038403,93,15.0,5,0.7018210921966772,326436378196
CP000647,229,6.0,10,1.6968583438508322,309239522459
AM286415,76,6.0,14,2.8073096513722313,335009166968
DQ432703,182,6.0,1,0.8195054054041412,326428044671
AF036760,114,15.0,2,0.6582301360388148,309239150097
AF004877,74,15.0,3,0.7115257415697405,309238245632
BA000007,1811,12.0,35,4.345059206970058,309239515666
CP001340,104,3.0,1,0.918305490878069,309240824544
HM441076,106,2.0,1,0.9611826607072934,326433227191
AE013599,362,12.0,5,2.7223081772516955,317841229673
AE005674,110,11.0,17,2.326558823307598,309239520121
AY835769,66,8.0,1,0.7845521131574771,326427698865
D50842,184,17.0,2,0.9510982789441418,309254265775
AM180355,189,7.0,14,2.6138227709197928,335009163607
AM270987,78,6.0,2,0.8818422568238057,335022942394
AP000423,98,13.0,14,2.6547295116958356,326422130471
AY358025,76,9.0,2,1.1233878453192427,326427638880
AE017042,106,9.0,8,1.086220176022647,309239791927
AE005174,827,12.0,29,3.8153006125633913,309239520117
AF418014,166,11.0,3,0.739078162228443,326436819379
AL111168,397,12.0,17,4.1919248478027376,335009158377
FN554889,99,3.0,1,0.9262134939919074,309239784876
FJ217162,121,4.0,1,1.0327976729338155,326418878908
FN649414,157,3.0,4,1.4564223363016386,309239786084
AF254446,100,12.0,1,0.7663938144047897,309238269711
AM942759,158,4.0,5,0.9920660149422654,309239336342
X13403,167,24.0,1,0.5707617481460587,309239098017
AE015928,172,10.0,6,1.335452752440335,309239791898
CP000967,177,4.0,4,4.177235944876606,309239527393
X02974,146,27.0,2,0.4534098305641507,309242283755
CP000702,395,5.0,1,0.855341214628611,309239523016
AE004091,534,12.0,17,2.1331390103245846,309239444647
BA000017,136,11.0,22,3.2604518413595565,309239516219
CP002038,96,2.0,4,1.0221741185945445,335009107918
L43967,101,17.0,12,1.2718395960040685,309240778453
AY048746,222,11.0,5,8.167855190731743,317844905599
AC132217,137,10.0,1,0.7322467879232322,309238208409
AE005176,131,11.0,13,1.3318276849422772,309239520118
AF009606,107,15.0,36,4.741523137154438,326436372806
DQ058764,80,7.0,1,1.1148063886906847,309239531315
DQ434522,187,6.0,1,0.8195054054041412,326428046475
AF347006,97,11.0,1,0.7078843700864416,309238277827
AY835778,68,8.0,1,0.7845521131574771,326427698874
FR682468,307,2.0,2,1.033098314927884,326418970842
FR821779,122,1.0,6,1.791033795423466,309239798924
CU329670,94,5.0,1,0.906444062420352,309243059095
CP000046,173,8.0,19,2.4142257477109195,309239517520
AE009952,159,10.0,11,1.2500854783826114,309239520151
FR821777,114,1.0,3,1.0973341853489509,309239798922
M87661,102,19.0,23,2.9807094549349853,326437407115
AE014075,1366,10.0,32,4.420597128407385,309239520161
AE017196,151,9.0,6,0.9633296570043477,309239791939
AF234315,101,12.0,2,0.9374880030899738,317844900882
CP000029,153,8.0,11,2.330291363476581,309239517503
U55761,88,16.0,7,1.4821669074214125,317844870270
U47295,147,16.0,2,0.6495934107018235,317844870219
AB559564,148,2.0,1,0.9396018126178247,326419066947
AE016877,206,9.0,7,1.4025172326995317,309239791923
CP000744,117,5.0,6,1.7990330518049222,309239523618
U15762,392,18.0,3,0.6789309268135564,335009024566
AM270981,123,6.0,2,0.8818422568238057,335022942388
AY048744,172,11.0,3,7.6473182507358874,317844905597
Z83834,330,15.0,3,1.137823885488787,309237718004
AM406671,130,6.0,6,1.0636906401583262,335009168574
AY446894,160,10.0,8,1.2611934600872772,326427648787
AJ507799,104,10.0,15,7.953348013827787,326436854227
CP000854,176,5.0,5,1.0176818988694039,309239524329
CP003409,207,0.0,1,1.0226190476190475,335009158648
AF057040,83,14.0,6,2.2096498411961445,326428053545
X83960,81,17.0,1,1.7122896352622672,309242286891
AE009949,78,10.0,6,0.9636298208865267,309239520148
AP008207,102,8.0,2,1.2551455464609695,335022942406
AY365046,371,9.0,2,0.7920724834585859,309238460071
CP001509,216,3.0,3,0.9733291877116318,309240846545
CP000113,191,7.0,2,0.8597740262527945,309239518060
AM743169,481,5.0,7,1.8841142874464263,309239330885
HQ380231,72,2.0,2,1.89323056226739,326436015206
CM000759,117,3.0,1,0.9215040847026262,335010439076
CR626927,208,8.0,3,0.870412528397386,309239525375
CP000410,174,6.0,4,1.1246452870992512,309239520083
FN554766,79,3.0,4,0.9880156982970413,309239784867
CP001398,115,3.0,1,2.1639316858269666,309240846435
X06403,140,25.0,7,1.1108407040131683,317844870472
AL591824,95,11.0,10,4.559548683555979,335022942381
AB645856,87,1.0,1,1.0265911004820059,326419073419
AE000783,105,15.0,10,1.6288837918764474,309239444606
AE009950,112,10.0,9,1.0331241656049788,309239520149
AF034253,80,15.0,3,0.9767424785703392,309254232763
AJ938182,131,7.0,16,2.1050237686715345,335009157447
X14112,146,23.0,11,3.2639924965948577,326427623550
AF222029,141,12.0,1,0.6875154664004964,326436408289
AL590842,384,11.0,16,2.520629706230588,335009159056
AL954747,182,10.0,5,0.8598639140584841,335009159137
AE016879,174,9.0,5,1.147998815396986,309239791925
AE006914,287,11.0,7,1.9407096480085504,309239520127
Y14837,144,15.0,1,1.5565306597126334,317844870721
Z92910,242,15.0,1,0.6997621177080782,309239130738
AJ851868,138,8.0,1,0.788292921697982,309239216804
BA000036,191,10.0,4,0.793221397944721,309239516234
Z86099,137,15.0,5,0.924581553559536,326427631537
AP009048,431,7.0,25,5.387412968517162,309239338609
CP000094,146,7.0,8,3.405092058879177,309239517555
AM946981,340,4.0,5,0.9988108263609914,309239336702
AL645882,565,10.0,12,5.882338897615843,335022942383
AY243312,89,9.0,20,5.487498519591144,326437327506
AB001981,197,15.0,2,1.6906893564589967,326427901999
EU037962,92,5.0,2,0.889838474747252,326418769723
FQ312003,239,2.0,7,1.9904733217261978,309239792154
AE004969,109,9.0,12,5.26424872783382,309239444652
AF354045,97,11.0,4,2.396605172190427,317844901208
AL935263,161,1.0,3,1.1503137727245878,335009159107
U78872,88,16.0,1,0.6499795528433652,317844870386
AE014297,670,12.0,6,3.613792765274494,317841886458
AC073210,89,12.0,5,0.9973968680952986,309239137303
AL513382,418,11.0,19,2.1003103626796924,335009159042
CP000058,688,7.0,5,1.0534003933645615,309239517532
U62636,344,16.0,4,4.321461984266454,317844870309
AE003852,293,12.0,18,3.0000423034917447,309239444645
AE005672,152,11.0,18,2.542534149407405,309239520119
AE014298,595,12.0,4,1.8349822265465352,317841886459
AF086833,547,14.0,6,1.95462839152449,326436386051
AF353511,211,11.0,8,1.041704454553045,326436807804
BX571965,103,8.0,8,1.156655005883168,309239516914
AE016825,207,9.0,1,0.750615588828194,309239791911
AM420293,138,6.0,3,0.9484880925118147,309239326909
AJ238799,82,13.0,21,3.8768090516800133,326436843856
M21789,102,24.0,2,0.5179907207839431,309240852982
L09137,288,19.0,6,3.1281849453753687,317845115233
U13369,155,18.0,19,8.931117294239437,309239087961
AE016958,137,9.0,10,2.409951461451759,309239791926
CP003150,327,1.0,1,0.979395587661493,335009158395
DP000009,106,7.0,2,0.8282776832950315,335015427879
AE014073,178,10.0,14,1.7756717863044105,309239520159
CP000133,94,7.0,4,1.9242197890823134,309239518074
FJ527563,140,4.0,2,1.1558870789242863,326418909033
U47298,83,16.0,1,0.8008367377035411,317844870222
CP000480,125,6.0,10,2.1430831806550117,309239521324
CP002686,1042,1.0,1,0.988807009572915,309238114903
V01555,196,28.0,22,5.090687614928147,326427623438
AF234316,110,12.0,1,1.152515507621644,317844900883
AJ276351,94,12.0,2,0.7673578397026465,335009134664
AM270991,83,6.0,2,0.8818422568238057,335022942398
AY118398,284,10.0,1,0.716725007290884,309254188316
CP000538,105,6.0,5,0.940971812531545,309239521798
AE014134,458,12.0,6,1.8159420923142755,317841229674
AE015929,143,10.0,8,1.3607474268817072,309239791899
BX571857,276,8.0,19,1.5323395421568873,309239516894
CP000814,540,5.0,4,0.9186783918013604,309239524290
CP003265,249,0.0,1,1.0175925925925926,335009158508
AY354458,103,9.0,5,1.17014580956773,326427638025
AE000513,138,13.0,5,1.343972190934298,309239444599
AF234297,336,12.0,5,2.147454061996531,317844900864
BA000016,181,11.0,4,0.7643412319509263,309239516218
X17403,90,23.0,13,6.275890918764494,326427623671
AE007317,141,11.0,12,2.747151822743844,309239520128
AE007869,109,11.0,12,2.1233353909144235,309239520129
AF261085,139,12.0,6,2.009746322309706,309238270402
AY048743,141,11.0,1,0.7130522656622226,317844905596
CP000918,536,5.0,1,0.9256483915572808,309239524998
CP001956,185,2.0,1,1.2730151652457906,335009107837
X96964,87,16.0,2,0.6099296446914805,335009073927
AE016853,383,9.0,8,1.7647555509590875,309239791920
U00096,2085,15.0,120,46.63812697617475,335009058245
AE005173,99,12.0,1,0.6829446574164904,335022942368
EF550208,136,5.0,1,1.152397051922209,317844965805
AF307851,107,12.0,2,1.0165757405727123,309238275414
AM933172,85,4.0,12,1.3658456424452374,309239335840
CP003178,95,1.0,1,0.9915750748409803,335009158423
AJ566640,89,9.0,1,0.7585526694807485,335009146892
FN597644,127,3.0,1,0.9263705391690495,309239785506
GQ331973,126,3.0,2,0.9453127075790398,326419001533
X04465,182,26.0,5,0.5898987364222716,309237699340
AL157959,73,12.0,15,2.5537065809160038,335009158382
CP000730,125,5.0,13,1.763750464152941,309239523041
M96262,97,19.0,11,0.9773476020461949,326437407125
M77789,804,21.0,2,1.5437896875539503,317844858694
U28006,159,17.0,1,0.6454594915047495,326427610752
AM181176,129,6.0,2,1.9759852551651573,335009163717
AM039952,133,7.0,5,1.0266617219907799,335009159215
BX571856,869,8.0,19,1.6395051766545528,309239516301
X99044,144,16.0,1,0.668032418623795,335009074237
AE017333,277,8.0,5,1.822504594752683,335009080239
AY835777,97,8.0,1,0.7845521131574771,326427698873
FJ940752,72,3.0,1,0.9268298193585429,309238685641
Z00044,120,26.0,20,2.122459833712646,309237710691
BA000033,170,10.0,20,2.501258120327956,309239516231
BX950851,138,8.0,4,1.2666722997290512,309239517006
AJ491881,150,10.0,1,0.7307977844106451,309244011258
J01415,254,15.0,24,12.756660447791479,309238764997
CU928163,160,4.0,10,1.1039615628549229,309239525606
Z12132,102,20.0,2,2.3546720863620894,326427627351
AF234296,212,12.0,3,2.8131442893401926,317844900863
AP006725,146,8.0,8,1.4333515456632573,309239338568
AE000511,293,15.0,20,2.1573600859470843,309239444597
CU651637,114,2.0,4,1.0258667383976294,309239525593
BX936398,97,8.0,12,2.3116914522252894,309239517002
AY048742,220,11.0,3,1.096305746067667,317844905595
D28507,102,18.0,1,0.5868116360940264,309238556436
AM948965,87,4.0,3,0.962626769869574,309238435540
GU214026,138,3.0,1,1.3798374180359594,317844530306
U77384,131,16.0,1,0.6646920422177774,326427620341
U49845,960,16.0,1,0.6004864402742608,309237692232
AE001439,143,13.0,14,1.6155070114147836,309239444623
AE014299,164,10.0,6,0.9168407992292464,309239791889
CP000560,205,5.0,2,0.8776682777077327,309239521820
BA000030,102,10.0,5,1.1022231313054796,309239516228
AE017125,90,9.0,1,0.7501728769985447,309239791932
AF234298,140,12.0,1,0.8722073352462577,317844900865
DQ205415,817,7.0,2,1.019579257801544,326418641480
AE008922,181,11.0,10,3.227446929510962,309239520138
AF324493,225,12.0,29,18.889065469824505,317844901152
BA000011,100,12.0,5,0.9285733136155525,309239515668
AJ810452,198,8.0,1,0.7821847050590615,326428787313
GU734771,122,2.0,4,1.102724011186168,326419148780
FJ616285,97,3.0,2,1.0914539541593147,326418917073
AY426531,81,9.0,5,0.8687356594175321,326427647102
CP000026,111,8.0,14,1.7802967154825595,309239517500
JF909299,199,1.0,1,1.9172161004820059,309238772230
AF067844,93,14.0,3,0.8680232243945072,309238252609
AF148805,106,13.0,6,1.7297854514549327,326436396152
AF541999,86,10.0,1,0.8402144427412306,335009127455
CP002685,680,1.0,2,1.028382273212981,309238114902
FJ172221,71,4.0,1,0.8938643952340588,309239726527
AE014133,146,10.0,15,3.330487984726683,309239520162
AF033819,775,15.0,5,3.2263033936282652,326436377694
AF485783,411,10.0,8,4.523990066544481,317844902025
X54156,95,22.0,10,3.0580376136880707,309239098955
BX548174,159,9.0,10,1.8602023270764205,309239516282
EF112445,116,6.0,6,1.0237676438146952,326418713834
FN545816,181,3.0,5,2.3603871364303504,309239784063
X14061,82,23.0,2,1.4358248575759076,317844695870
DQ432877,201,6.0,1,0.8195054054041412,326428044840
U14680,331,18.0,23,4.197258661370994,309239088117
CP000438,278,6.0,4,2.3296217013278153,309239520111
DQ659327,289,6.0,1,0.8795163041603867,326418683997
AE014613,434,10.0,21,1.8897913476774126,309239791891
BA000040,142,10.0,6,0.936447493064506,309239516238
AE004437,170,12.0,7,2.049969013760554,309239444649
CP000255,484,6.0,20,3.226784390327045,309239518698
AE014074,195,10.0,11,1.6206965582287178,309239520160
AP008934,329,7.0,5,1.0222573302003921,309239338597
AF092448,166,14.0,4,1.818163012268783,326436387160
AF369024,99,11.0,12,3.598995655686686,326436810055
AJ004801,145,15.0,5,2.1643771354425434,326436840878
CP001918,108,2.0,1,0.9735858221614899,335009107811
AB042432,327,12.0,6,1.5904783720590787,309239164866
U55763,268,16.0,8,3.247261356263295,317844870272
AE014296,300,12.0,4,1.7736517083281143,317841886457
AF406991,128,11.0,1,0.7262586514621174,317844901398
AL123456,981,14.0,32,11.679191975717035,335009158381
AM711867,95,5.0,1,0.8619748592915487,309239330813
L42023,167,17.0,17,1.823806295171104,309240778433
X65316,112,20.0,1,0.657861407005278,317844870547
AM408590,111,6.0,5,2.110133812081237,335009169195
BA000022,165,11.0,7,1.671752861712806,309239516224
CP001111,185,4.0,1,0.8844725304407854,309239927828
FJ968794,79,3.0,1,0.9523374180359595,326418950185
CP001363,283,3.0,8,2.896178567873313,309240840914
L40804,787,15.0,1,0.7422449454269191,309240778421
AF170104,1097,13.0,1,0.6579953824089375,335009093289
FM991728,134,3.0,3,1.196849819792609,309239779658
AE001437,150,11.0,8,0.8144612350132809,309239444621
JN613429,107,1.0,1,1.002401285667191,309238784953
BA000018,405,11.0,27,3.466265349967259,309239516220
CP000948,549,4.0,15,2.324547946857644,309239527374
FN433596,105,3.0,9,1.1789937651367333,309239783173
CP000951,138,4.0,3,0.9446795639359037,309239527377
