age,count,prob
305.0,18,3.869357340374016e-07
170.0,335,7.201303939029418e-06
147.0,956,2.0550586763319774e-05
184.0,177,3.804868051367782e-06
169.0,344,7.3947718060481194e-06
160.0,501,1.0769711264041011e-05
8.0,2020519,0.04343394457786204
70.0,31664,0.0006806629490311269
67.0,41427,0.0008905325918870798
379.0,2,4.2992859337489066e-08
311.0,13,2.794535856936789e-07
168.0,328,7.050828931348207e-06
69.0,36285,0.0007799979505303954
0.0,8179,0.00017581929826066155
206.0,30,6.44892890062336e-07
389.0,1,2.1496429668744533e-08
390.0,1,2.1496429668744533e-08
7.0,2127618,0.045736190698954904
249.0,12,2.579571560249344e-07
365.0,1,2.1496429668744533e-08
142.0,1296,2.7859372850692915e-05
191.0,128,2.7515429975993002e-06
329.0,3,6.44892890062336e-08
154.0,571,1.2274461340853128e-05
112.0,5163,0.00011098606637972802
232.0,27,5.804036010561024e-07
124.0,3156,6.784273203455775e-05
438.0,1,2.1496429668744533e-08
348.0,11,2.3646072635618988e-07
303.0,5,1.0748214834372266e-07
410.0,3,6.44892890062336e-08
253.0,16,3.4394287469991253e-07
331.0,1,2.1496429668744533e-08
128.0,2469,5.3074684852130254e-05
353.0,14,3.009500153624235e-07
201.0,73,1.5692393658183508e-06
235.0,23,4.944178823811242e-07
108.0,5935,0.0001275813100839988
180.0,240,5.159143120498688e-06
387.0,1,2.1496429668744533e-08
271.0,14,3.009500153624235e-07
255.0,18,3.869357340374016e-07
439.0,1,2.1496429668744533e-08
234.0,32,6.878857493998251e-07
369.0,1,2.1496429668744533e-08
355.0,1,2.1496429668744533e-08
133.0,2051,4.408917725059504e-05
181.0,224,4.815200245798776e-06
358.0,2,4.2992859337489066e-08
88.0,17695,0.0003803793229884345
280.0,5,1.0748214834372266e-07
49.0,190886,0.004103367473747969
286.0,13,2.794535856936789e-07
155.0,550,1.1823036317809493e-05
214.0,40,8.598571867497813e-07
436.0,3,6.44892890062336e-08
443.0,2,4.2992859337489066e-08
350.0,22,4.7292145271237975e-07
101.0,4955,0.00010651480900862916
217.0,53,1.1393107724434602e-06
321.0,17,3.6543930436865705e-07
98.0,8283,0.00017805492694621098
116.0,4311,9.267110830195769e-05
167.0,334,7.179807509360674e-06
238.0,31,6.663893197310805e-07
342.0,17,3.6543930436865705e-07
29.0,527174,0.011332358814190731
107.0,6538,0.00014054365717425176
182.0,207,4.449760941430118e-06
268.0,7,1.5047500768121174e-07
427.0,1,2.1496429668744533e-08
413.0,1,2.1496429668744533e-08
75.0,15810,0.00033985855306285106
64.0,51473,0.0011064857243392873
47.0,217094,0.004666745902506425
279.0,20,4.2992859337489066e-07
42.0,266775,0.005734710024879323
412.0,1,2.1496429668744533e-08
380.0,1,2.1496429668744533e-08
144.0,1126,2.4204979807006343e-05
434.0,1,2.1496429668744533e-08
215.0,34,7.308786087373141e-07
44.0,244343,0.005252502114550046
236.0,26,5.589071713873578e-07
465.0,2,4.2992859337489066e-08
388.0,1,2.1496429668744533e-08
96.0,10240,0.00022012343980794402
62.0,57969,0.0012461265314674518
35.0,381389,0.00819850181493281
396.0,9,1.934678670187008e-07
219.0,198,4.256293074411418e-06
151.0,695,1.494001861977745e-05
419.0,2,4.2992859337489066e-08
18.0,921123,0.01980085578576297
275.0,15,3.22446445031168e-07
258.0,27,5.804036010561024e-07
346.0,21,4.514250230436352e-07
476.0,1,2.1496429668744533e-08
395.0,1,2.1496429668744533e-08
86.0,19424,0.0004175466498856938
80.0,22796,0.0004900326107287004
171.0,318,6.835864634660761e-06
218.0,33,7.093821790685696e-07
178.0,263,5.6535610028798124e-06
324.0,33,7.093821790685696e-07
120.0,3527,7.581790744166197e-05
161.0,477,1.0253796951991142e-05
237.0,32,6.878857493998251e-07
440.0,1,2.1496429668744533e-08
139.0,1770,3.8048680513677824e-05
287.0,1,2.1496429668744533e-08
177.0,274,5.890021729236002e-06
251.0,20,4.2992859337489066e-07
308.0,1,2.1496429668744533e-08
229.0,38,8.168643274122923e-07
159.0,516,1.1092157709072179e-05
409.0,2,4.2992859337489066e-08
373.0,2,4.2992859337489066e-08
231.0,33,7.093821790685696e-07
339.0,2,4.2992859337489066e-08
272.0,2,4.2992859337489066e-08
274.0,3,6.44892890062336e-08
267.0,18,3.869357340374016e-07
207.0,45,9.67339335093504e-07
377.0,2,4.2992859337489066e-08
39.0,313295,0.006734723933069319
104.0,5531,0.00011889675249782601
1.0,1246551,0.026796395900003166
408.0,2,4.2992859337489066e-08
294.0,1,2.1496429668744533e-08
312.0,1,2.1496429668744533e-08
179.0,284,6.104986025923448e-06
266.0,32,6.878857493998251e-07
250.0,28,6.01900030724847e-07
94.0,12046,0.00025894599178969666
300.0,19,4.0843216370614614e-07
270.0,6,1.289785780124672e-07
210.0,53,1.1393107724434602e-06
466.0,1,2.1496429668744533e-08
114.0,4846,0.000104171698174736
121.0,3412,7.334581802975634e-05
239.0,18,3.869357340374016e-07
205.0,56,1.203800061449694e-06
166.0,360,7.738714680748033e-06
37.0,341828,0.007348081560807606
34.0,398244,0.008560824136999498
25.0,626432,0.013466051430250975
292.0,6,1.289785780124672e-07
36.0,360332,0.007745851495398055
225.0,25,5.374107417186134e-07
345.0,10,2.1496429668744533e-07
309.0,15,3.22446445031168e-07
364.0,3,6.44892890062336e-08
41.0,282059,0.006063261455936414
334.0,21,4.514250230436352e-07
288.0,23,4.944178823811242e-07
344.0,10,2.1496429668744533e-07
220.0,39,8.383607570810367e-07
314.0,24,5.159143120498688e-07
414.0,1,2.1496429668744533e-08
149.0,891,1.9153318834851378e-05
216.0,50,1.0748214834372267e-06
293.0,2,4.2992859337489066e-08
193.0,101,2.171139396543198e-06
284.0,18,3.869357340374016e-07
337.0,4,8.598571867497813e-08
295.0,17,3.6543930436865705e-07
468.0,2,4.2992859337489066e-08
4.0,2341039,0.050323980215288035
204.0,144,3.095485872299213e-06
340.0,2,4.2992859337489066e-08
137.0,1674,3.5985023265478345e-05
246.0,27,5.804036010561024e-07
245.0,26,5.589071713873578e-07
349.0,19,4.0843216370614614e-07
424.0,1,2.1496429668744533e-08
318.0,19,4.0843216370614614e-07
296.0,26,5.589071713873578e-07
212.0,35,7.523750384060587e-07
495.0,1,2.1496429668744533e-08
326.0,24,5.159143120498688e-07
85.0,20049,0.0004309819184286591
122.0,3399,7.306636444406266e-05
145.0,1144,2.4591915541043747e-05
523.0,1,2.1496429668744533e-08
165.0,406,8.727550445510281e-06
370.0,3,6.44892890062336e-08
197.0,65,1.3972679284683947e-06
23.0,712036,0.015306231795614182
252.0,19,4.0843216370614614e-07
77.0,18686,0.00040168228479016036
140.0,1586,3.409333745462883e-05
199.0,49,1.0533250537684822e-06
282.0,4,8.598571867497813e-08
368.0,3,6.44892890062336e-08
56.0,96220,0.002068386462726599
50.0,162710,0.003497684071401423
78.0,20012,0.0004301865505309156
123.0,3173,6.82081713389264e-05
248.0,36,7.738714680748032e-07
242.0,27,5.804036010561024e-07
367.0,2,4.2992859337489066e-08
285.0,6,1.289785780124672e-07
386.0,7,1.5047500768121174e-07
397.0,1,2.1496429668744533e-08
79.0,20930,0.00044992027296682306
113.0,4870,0.00010468761248678588
213.0,39,8.383607570810367e-07
259.0,3,6.44892890062336e-08
351.0,11,2.3646072635618988e-07
45.0,235312,0.005058367858211613
83.0,21403,0.00046008808420013926
129.0,2497,5.36765848828551e-05
134.0,1937,4.163858426835816e-05
118.0,4017,8.63511579793468e-05
71.0,26798,0.000576061322263016
186.0,165,3.546910895342848e-06
416.0,2,4.2992859337489066e-08
143.0,1193,2.5645240594812227e-05
156.0,530,1.1393107724434603e-05
173.0,366,7.867693258760498e-06
361.0,3,6.44892890062336e-08
93.0,13486,0.00028990085051268876
320.0,13,2.794535856936789e-07
241.0,23,4.944178823811242e-07
467.0,1,2.1496429668744533e-08
310.0,2,4.2992859337489066e-08
31.0,469636,0.010095497243910508
132.0,2329,5.006518469850602e-05
162.0,523,1.124263271675339e-05
281.0,10,2.1496429668744533e-07
146.0,1089,2.3409611909262798e-05
164.0,362,7.781707540085522e-06
404.0,1,2.1496429668744533e-08
230.0,40,8.598571867497813e-07
11.0,1604236,0.034485346346068056
103.0,5482,0.00011784342744405753
400.0,2,4.2992859337489066e-08
58.0,80756,0.0017359656743291335
106.0,6826,0.0001467346289188502
298.0,13,2.794535856936789e-07
332.0,17,3.6543930436865705e-07
264.0,15,3.22446445031168e-07
21.0,779042,0.01674662156199808
72.0,22636,0.00048659318198170126
51.0,151750,0.0032620832022319827
130.0,2363,5.079606330724333e-05
14.0,1189907,0.0255787521378468
109.0,5798,0.0001246362992193808
391.0,1,2.1496429668744533e-08
336.0,17,3.6543930436865705e-07
63.0,54397,0.0011693412846906963
111.0,5294,0.00011380209866633356
411.0,2,4.2992859337489066e-08
48.0,200549,0.004311087473637047
157.0,536,1.1522086302447069e-05
273.0,17,3.6543930436865705e-07
415.0,3,6.44892890062336e-08
22.0,743948,0.01599222585920316
82.0,22067,0.0004743617135001856
262.0,36,7.738714680748032e-07
60.0,68688,0.0014765467610867245
74.0,15631,0.0003360106921521458
247.0,13,2.794535856936789e-07
