cited_count,count,prob
29,143138,0.0036926127545410885
26,177474,0.004578398161211035
474,96,2.4765668406429075e-06
3764,1,2.5797571256696954e-08
1950,3,7.739271377009086e-08
1697,1,2.5797571256696954e-08
964,15,3.869635688504543e-07
1806,1,2.5797571256696954e-08
1677,3,7.739271377009086e-08
2927,1,2.5797571256696954e-08
2040,1,2.5797571256696954e-08
2214,1,2.5797571256696954e-08
2509,1,2.5797571256696954e-08
3506,2,5.159514251339391e-08
65,23450,0.0006049530459695436
191,1384,3.5703838619268586e-05
558,65,1.676842131685302e-06
1360,3,7.739271377009086e-08
541,71,1.8316275592254836e-06
418,156,4.024421116044725e-06
1258,11,2.837732838236665e-07
1010,8,2.0638057005357563e-07
1224,7,1.8058299879687866e-07
1277,7,1.8058299879687866e-07
8305,1,2.5797571256696954e-08
6892,1,2.5797571256696954e-08
7544,1,2.5797571256696954e-08
2906,1,2.5797571256696954e-08
1840,2,5.159514251339391e-08
2895,1,2.5797571256696954e-08
2941,1,2.5797571256696954e-08
7358,1,2.5797571256696954e-08
4126,1,2.5797571256696954e-08
3015,1,2.5797571256696954e-08
5418,1,2.5797571256696954e-08
222,946,2.4404502408835318e-05
270,560,1.4446639903750294e-05
293,395,1.0190040646395296e-05
1371,8,2.0638057005357563e-07
938,26,6.707368526741208e-07
730,22,5.67546567647333e-07
1409,5,1.2898785628348477e-07
1127,10,2.5797571256696954e-07
1551,4,1.0319028502678782e-07
1145,6,1.5478542754018172e-07
2570,2,5.159514251339391e-08
1642,3,7.739271377009086e-08
3327,1,2.5797571256696954e-08
2581,1,2.5797571256696954e-08
2909,1,2.5797571256696954e-08
2994,1,2.5797571256696954e-08
2184,3,7.739271377009086e-08
2517,2,5.159514251339391e-08
720,30,7.739271377009086e-07
243,695,1.792931202340438e-05
278,526,1.3569522481022597e-05
367,233,6.01083410281039e-06
442,141,3.63745754719427e-06
7626,1,2.5797571256696954e-08
1175,12,3.0957085508036343e-07
1936,3,7.739271377009086e-08
705,39,1.0061052790111812e-06
3034,1,2.5797571256696954e-08
2944,1,2.5797571256696954e-08
1202,6,1.5478542754018172e-07
1532,5,1.2898785628348477e-07
2520,1,2.5797571256696954e-08
38523,1,2.5797571256696954e-08
3120,1,2.5797571256696954e-08
1463,3,7.739271377009086e-08
2598,1,2.5797571256696954e-08
1690,2,5.159514251339391e-08
3452,1,2.5797571256696954e-08
2797,1,2.5797571256696954e-08
2030,1,2.5797571256696954e-08
54,36603,0.0009442685007088786
19,320046,0.008256409490420833
296,409,1.0551206643989054e-05
926,12,3.0957085508036343e-07
965,11,2.837732838236665e-07
1280,9,2.3217814131027257e-07
1217,4,1.0319028502678782e-07
1951,2,5.159514251339391e-08
1537,4,1.0319028502678782e-07
4552,1,2.5797571256696954e-08
3051,1,2.5797571256696954e-08
1447,3,7.739271377009086e-08
1671,5,1.2898785628348477e-07
3081,1,2.5797571256696954e-08
1782,1,2.5797571256696954e-08
277,544,1.4033878763643143e-05
348,279,7.19752238061845e-06
415,161,4.153408972328209e-06
287,462,1.1918477920593993e-05
847,14,3.611659975937573e-07
1077,14,3.611659975937573e-07
1336,5,1.2898785628348477e-07
1958,5,1.2898785628348477e-07
2486,1,2.5797571256696954e-08
2648,1,2.5797571256696954e-08
1594,2,5.159514251339391e-08
3252,1,2.5797571256696954e-08
3640,1,2.5797571256696954e-08
2157,1,2.5797571256696954e-08
5741,1,2.5797571256696954e-08
656,52,1.3414737053482415e-06
502,85,2.192793556819241e-06
2088,4,1.0319028502678782e-07
1480,6,1.5478542754018172e-07
2900,1,2.5797571256696954e-08
1055,13,3.353684263370604e-07
2244,1,2.5797571256696954e-08
2583,2,5.159514251339391e-08
