pub_decay_time,data_decay_time,alpha,corr
1,1,0.05,0.22439784049010714
1,1,0.15,0.20438521049138206
1,5,0.05,0.22825358283300545
1,5,0.15,0.20766090493316267
1,10,0.05,0.242411376908431
1,10,0.15,0.2248511328429108
1,20,0.05,0.2596872733475998
1,20,0.15,0.247458865671423
1,30,0.05,0.2666587041321983
1,30,0.15,0.2572654941290966
1,50,0.05,0.27125490533964686
1,50,0.15,0.26416854442450827
1,70,0.05,0.27245941709143384
1,70,0.15,0.2661700653482915
1,100,0.05,0.2728593217076253
1,100,0.15,0.2670000860563441
5,1,0.05,0.30525050883029137
5,1,0.15,0.30065634966477517
5,5,0.05,0.3100876576668561
5,5,0.15,0.3060269339699679
5,10,0.05,0.31424548489369825
5,10,0.15,0.3114240284599633
5,20,0.05,0.3174275253903679
5,20,0.15,0.31592732371023696
5,30,0.05,0.3181473164297739
5,30,0.15,0.3171008850647683
5,50,0.05,0.31818023785698923
5,50,0.15,0.31737244996264796
5,70,0.05,0.31793581363043877
5,70,0.15,0.3171583090359148
5,100,0.05,0.3176091405321102
5,100,0.15,0.31681130832997445
10,1,0.05,0.31721505504032493
10,1,0.15,0.31446713316878666
10,5,0.05,0.32142557824381685
10,5,0.15,0.3192534659532084
10,10,0.05,0.3242977514613714
10,10,0.15,0.3229308123061242
10,20,0.05,0.3261458690245519
10,20,0.15,0.3255315603638447
10,30,0.05,0.3264142478764558
10,30,0.15,0.3260248058100862
10,50,0.05,0.3262088720380364
10,50,0.15,0.3259064911520947
10,70,0.05,0.32593214377307733
10,70,0.15,0.3256184582704292
10,100,0.05,0.3256227799734938
10,100,0.15,0.32527257196201576
20,1,0.05,0.3228523579381956
20,1,0.15,0.32083766523299756
20,5,0.05,0.32666654194052064
20,5,0.15,0.32520901006914515
20,10,0.05,0.32899825109237324
20,10,0.15,0.3281661532830707
20,20,0.05,0.3303402752415304
20,20,0.15,0.33004583811914867
20,30,0.05,0.33045511980001707
20,30,0.15,0.33030473029057417
20,50,0.05,0.3301855862174197
20,50,0.15,0.3300727456065489
20,70,0.05,0.32991218563248087
20,70,0.15,0.3297765805780424
20,100,0.05,0.32962313759584994
20,100,0.15,0.32944844757966485
30,1,0.05,0.3246587287939615
30,1,0.15,0.3228587337680216
30,5,0.05,0.32833200652257516
30,5,0.15,0.3270778852297948
30,10,0.05,0.33050008378391255
30,10,0.15,0.32981796830735316
30,20,0.05,0.33169714899732533
30,20,0.15,0.33149157262487666
30,30,0.05,0.3317709489271306
30,30,0.15,0.3316872436219041
30,50,0.05,0.3314874306978765
30,50,0.15,0.33142833389900406
30,70,0.05,0.33121761782945347
30,70,0.15,0.3311331479644153
30,100,0.05,0.33093672806464747
30,100,0.15,0.33081300469183955
50,1,0.05,0.3260738724217363
50,1,0.15,0.3244349940194822
50,5,0.05,0.3296320220743123
50,5,0.15,0.32852839807034295
50,10,0.05,0.3316752002664714
50,10,0.15,0.3311032244533329
50,20,0.05,0.3327645804572441
50,20,0.15,0.33262393252779004
50,30,0.05,0.33280899548560644
50,30,0.15,0.33277409857245105
50,50,0.05,0.33251675140737713
50,50,0.15,0.33249730007534334
50,70,0.05,0.33225060447337923
50,70,0.15,0.3322040880531587
50,100,0.05,0.3319766654402496
50,100,0.15,0.3318909778750201
70,1,0.05,0.3266717585490717
70,1,0.15,0.3250990590037116
70,5,0.05,0.3301800124277222
70,5,0.15,0.32913761597625507
70,10,0.05,0.33217129393863126
70,10,0.15,0.3316438982896145
70,20,0.05,0.333216731995204
70,20,0.15,0.3331022704338747
70,30,0.05,0.3332494634627685
70,30,0.15,0.33323427149474183
70,50,0.05,0.33295412145181863
70,50,0.15,0.33295075875271196
70,70,0.05,0.3326897492463001
70,70,0.15,0.33265869827404326
70,100,0.05,0.3324188947056786
70,100,0.15,0.33234876315000955
100,1,0.05,0.32711666958683067
100,1,0.15,0.32559248198976476
100,5,0.05,0.3305873089512452
100,5,0.15,0.32958956207555684
100,10,0.05,0.3325403084575766
100,10,0.15,0.33204533151048127
100,20,0.05,0.3335536465321111
100,20,0.15,0.3334581890619446
100,30,0.05,0.3335779656220179
100,30,0.15,0.33357708101693395
100,50,0.05,0.3332805452179612
100,50,0.15,0.33328889646829707
100,70,0.05,0.33301758078890314
100,70,0.15,0.3329978150728635
100,100,0.05,0.3327490786152482
100,100,0.15,0.33269032098928036
