pub_decay_time,data_decay_time,alpha,corr
1,1,0.05,0.37540839750608057
1,1,0.15,0.36514886861143925
1,5,0.05,0.3468941907244299
1,5,0.15,0.32785660342589185
1,10,0.05,0.3461015485068969
1,10,0.15,0.32712143430409196
1,20,0.05,0.3563233913834304
1,20,0.15,0.3410175342238097
1,30,0.05,0.36235909683441797
1,30,0.15,0.3492704171127226
1,50,0.05,0.36773747048971756
1,50,0.15,0.35663624105426234
1,70,0.05,0.3699741066203774
1,70,0.15,0.3596867742526717
1,100,0.05,0.37152412997531936
1,100,0.15,0.36178634900493223
5,1,0.05,0.4456294975772234
5,1,0.15,0.4445033394591266
5,5,0.05,0.43944451478184826
5,5,0.15,0.4366946438086327
5,10,0.05,0.438922283443743
5,10,0.15,0.43614219661694087
5,20,0.05,0.44057603327816847
5,20,0.15,0.4384020071556297
5,30,0.05,0.44151266129721173
5,30,0.15,0.43966072370179154
5,50,0.05,0.44227974950471194
5,50,0.15,0.44067964331297554
5,70,0.05,0.44256555066208214
5,70,0.15,0.44105274238764064
5,100,0.05,0.4427424303488998
5,100,0.15,0.4412788270938147
10,1,0.05,0.45762766941153527
10,1,0.15,0.4572188669494986
10,5,0.05,0.45354245891397443
10,5,0.15,0.45216824774583103
10,10,0.05,0.45312977292885853
10,10,0.15,0.45172235427158647
10,20,0.05,0.4540906798558578
10,20,0.15,0.45301249239805785
10,30,0.05,0.45462593471667445
10,30,0.15,0.45371772692111206
10,50,0.05,0.4550461355589202
10,50,0.15,0.4542639815894452
10,70,0.05,0.45519247477926006
10,70,0.15,0.45445003566863523
10,100,0.05,0.45527558946707253
10,100,0.15,0.4545523947660297
20,1,0.05,0.46356794725274436
20,1,0.15,0.4634241290314126
20,5,0.05,0.46033012008902124
20,5,0.15,0.45946733809125473
20,10,0.05,0.4599766047770641
20,10,0.15,0.45908252850933606
20,20,0.05,0.46067925232052814
20,20,0.15,0.4600153731977608
20,30,0.05,0.4610647579117833
20,30,0.15,0.46051708607142733
20,50,0.05,0.4613571947309579
20,50,0.15,0.46089204259876276
20,70,0.05,0.46145313277048783
20,70,0.15,0.4610117346094436
20,100,0.05,0.4615030354427543
20,100,0.15,0.4610712000859266
30,1,0.05,0.4655128057229576
30,1,0.15,0.46544352230155334
30,5,0.05,0.4625270678688019
30,5,0.15,0.46180925031098546
30,10,0.05,0.46219335038343096
30,10,0.15,0.4614452577566806
30,20,0.05,0.4628224642855815
30,20,0.15,0.4622770252282535
30,30,0.05,0.4631653388180532
30,30,0.15,0.4627212429171363
30,50,0.05,0.46342169603145666
30,50,0.15,0.4630482319145545
30,70,0.05,0.46350357212033916
30,70,0.15,0.463149587549463
30,100,0.05,0.46354432996376643
30,100,0.15,0.4631973788372244
50,1,0.05,0.46705074224832444
50,1,0.15,0.46703622510146436
50,5,0.05,0.46425592756157713
50,5,0.15,0.4636452065357623
50,10,0.05,0.46393796667632187
50,10,0.15,0.4632978958046066
50,20,0.05,0.46451257101321786
50,20,0.15,0.4640549674597945
50,30,0.05,0.4648238545567427
50,30,0.15,0.4644567338704742
50,50,0.05,0.4650535900875531
50,50,0.15,0.46474846977800277
50,70,0.05,0.46512515720608655
50,70,0.15,0.4648364447716749
50,100,0.05,0.4651592586689838
50,100,0.15,0.46487578658251116
70,1,0.05,0.4677043034906915
70,1,0.15,0.46771195208232136
70,5,0.05,0.46498842448007105
70,5,0.15,0.4644212345149623
70,10,0.05,0.46467718108720746
70,10,0.15,0.4640810642056341
70,20,0.05,0.46522956878179395
70,20,0.15,0.46480775394595736
70,30,0.05,0.4655279808710643
70,30,0.15,0.4651922651884394
70,50,0.05,0.46574690199112156
70,50,0.15,0.46546971770025575
70,70,0.05,0.4658143001978096
70,70,0.15,0.4655522981504077
70,100,0.05,0.4658457234024093
70,100,0.15,0.465588253153973
100,1,0.05,0.46819211208273864
100,1,0.15,0.4682158759188077
100,5,0.05,0.4655343083044438
100,5,0.15,0.4649988477324248
100,10,0.05,0.4652280857838862
100,10,0.15,0.46466402498588405
100,20,0.05,0.46576425331059795
100,20,0.15,0.4653685573282283
100,30,0.05,0.4660532700531312
100,30,0.15,0.4657404893654692
100,50,0.05,0.4662643103756212
100,50,0.15,0.4660075475705234
100,70,0.05,0.4663286781643203
100,70,0.15,0.4660862131018848
100,100,0.05,0.4663581600009704
100,100,0.15,0.4661197181845545
