pub_decay_time,data_decay_time,alpha,corr
1,1,0.05,0.006200719343491176
1,1,0.15,0.002949047026507075
1,5,0.05,0.03281720659845638
1,5,0.15,0.0307960833531393
1,10,0.05,0.04547549068868457
1,10,0.15,0.04277676799028086
1,20,0.05,0.06275989179017473
1,20,0.15,0.05880996010634133
1,30,0.05,0.07663991138102257
1,30,0.15,0.07186153428616476
1,50,0.05,0.09796756713846215
1,50,0.15,0.0926719770904098
1,70,0.05,0.11286514810231418
1,70,0.15,0.10801162061543222
1,100,0.05,0.1273008852502127
1,100,0.15,0.12375412507243404
5,1,0.05,-0.025098469885609178
5,1,0.15,-0.0266779569462865
5,5,0.05,0.00785439660326168
5,5,0.15,0.008469120967387507
5,10,0.05,0.009413962638560515
5,10,0.15,0.010511941061585737
5,20,0.05,0.00431501838164529
5,20,0.15,0.005302324777392921
5,30,0.05,0.0008415571470672174
5,30,0.15,0.0014368975241208168
5,50,0.05,-0.002535683137227114
5,50,0.15,-0.0024033306772522295
5,70,0.05,-0.004094011253411184
5,70,0.15,-0.004179181266093574
5,100,0.05,-0.005287472082422835
5,100,0.15,-0.005534608724722895
10,1,0.05,-0.04549955357433324
10,1,0.15,-0.04700488047007302
10,5,0.05,-0.02437844321483822
10,5,0.15,-0.022916830257772695
10,10,0.05,-0.025477845439660203
10,10,0.15,-0.024548104854083524
10,20,0.05,-0.028548316146167357
10,20,0.15,-0.02838282442790568
10,30,0.05,-0.02982828866020715
10,30,0.15,-0.029933930927478043
10,50,0.05,-0.030864757400324568
10,50,0.15,-0.031156300403731026
10,70,0.05,-0.03130015168692132
10,70,0.15,-0.031658043851161055
10,100,0.05,-0.03162014367065357
10,100,0.15,-0.032021541151240715
20,1,0.05,-0.052016084085177834
20,1,0.15,-0.053462655744755956
20,5,0.05,-0.03799947666950833
20,5,0.15,-0.03721383395496749
20,10,0.05,-0.03800492688520922
20,10,0.15,-0.03767603873794531
20,20,0.05,-0.039246987414214195
20,20,0.15,-0.03936269710679663
20,30,0.05,-0.03975591725073089
20,30,0.15,-0.040001981981166286
20,50,0.05,-0.04015816381042006
20,50,0.15,-0.04048520933012602
20,70,0.05,-0.04032362224483223
20,70,0.15,-0.04067711482673904
20,100,0.05,-0.0404435585780452
20,100,0.15,-0.040813244840220954
30,1,0.05,-0.05366669646132289
30,1,0.15,-0.0550669320198523
30,5,0.05,-0.0416148381001689
30,5,0.15,-0.041073209494607604
30,10,0.05,-0.041270298029637414
30,10,0.15,-0.041097894788857746
30,20,0.05,-0.04206596272771812
30,20,0.15,-0.04223661979982346
30,30,0.05,-0.042402758363502956
30,30,0.15,-0.0426696810948391
30,50,0.05,-0.04266748081048275
30,50,0.15,-0.04299200368628288
30,70,0.05,-0.04277525139839042
30,70,0.15,-0.04311771653000667
30,100,0.05,-0.04285270549528862
30,100,0.15,-0.04320566830256025
50,1,0.05,-0.05482511253640122
50,1,0.15,-0.05618040601741125
50,5,0.05,-0.04417240762965374
50,5,0.15,-0.043808742891366534
50,10,0.05,-0.043588174893190786
50,10,0.15,-0.04352004640686497
50,20,0.05,-0.04408831321512808
50,20,0.15,-0.04429148442812142
50,30,0.05,-0.0443131048064016
50,30,0.15,-0.04458986287233524
50,50,0.05,-0.044488882466843356
50,50,0.15,-0.04480800548657138
50,70,0.05,-0.044559468094543336
50,70,0.15,-0.04489106376442785
50,100,0.05,-0.04460958446675726
50,100,0.15,-0.044948042621898034
70,1,0.05,-0.055280775822163584
70,1,0.15,-0.056615014601307974
70,5,0.05,-0.04518126070148862
70,5,0.15,-0.04488767359025149
70,10,0.05,-0.044506754479304515
70,10,0.15,-0.04447772039670257
70,20,0.05,-0.044896035560940774
70,20,0.15,-0.04511039685490599
70,30,0.05,-0.04507910285786637
70,30,0.15,-0.0453584905787606
70,50,0.05,-0.04522183689423676
70,50,0.15,-0.04553790222379958
70,70,0.05,-0.045278631522596015
70,70,0.15,-0.045605143535348974
70,100,0.05,-0.04531861853289283
70,100,0.15,-0.045650653250781645
100,1,0.05,-0.05560729171558546
100,1,0.15,-0.05692512714723986
100,5,0.05,-0.04590481785267785
100,5,0.15,-0.045661121931660255
100,10,0.05,-0.04516764909744058
100,10,0.15,-0.045165807818520406
100,20,0.05,-0.04547968283375425
100,20,0.15,-0.04570145018492411
100,30,0.05,-0.04563374430242449
100,30,0.15,-0.04591454662654906
100,50,0.05,-0.0457535323912692
100,50,0.15,-0.04606705240451166
100,70,0.05,-0.04580075771033607
100,70,0.15,-0.046123319354593184
100,100,0.05,-0.04583371939825539
100,100,0.15,-0.0461608770712954
