pub_decay_time,data_decay_time,alpha,corr
1,1,0.05,0.019294399129937183
1,1,0.15,0.01815564311992745
1,5,0.05,0.07028462854804775
1,5,0.15,0.06971230659450209
1,10,0.05,0.0784490384951883
1,10,0.15,0.0776943009099344
1,20,0.05,0.0854282391891672
1,20,0.15,0.08429400166375198
1,30,0.05,0.0901543650209961
1,30,0.15,0.0887086458300588
1,50,0.05,0.09742293480502041
1,50,0.15,0.09556663360710088
1,70,0.05,0.10297160490437936
1,70,0.15,0.10093828963319908
1,100,0.05,0.1090751233837863
1,100,0.15,0.10707147791753263
5,1,0.05,-0.05243385387311084
5,1,0.15,-0.050272247082035856
5,5,0.05,0.015966762401257807
5,5,0.15,0.022082962350765234
5,10,0.05,0.001687620538092523
5,10,0.15,0.008714273713709489
5,20,0.05,-0.02386111624053311
5,20,0.15,-0.018820259703881452
5,30,0.05,-0.03574486647638002
5,30,0.15,-0.03249389150527527
5,50,0.05,-0.04553347025306364
5,50,0.15,-0.04389302709403003
5,70,0.05,-0.049596930342409876
5,70,0.15,-0.04860398148906886
5,100,0.05,-0.05253901981248799
5,100,0.15,-0.05199086263152447
10,1,0.05,-0.0689665509678448
10,1,0.15,-0.06860668430750783
10,5,0.05,-0.029042869188522648
10,5,0.15,-0.023103389796135607
10,10,0.05,-0.040225394753001464
10,10,0.15,-0.03592830397092462
10,20,0.05,-0.052733871313276566
10,20,0.15,-0.05065569830635582
10,30,0.05,-0.05764184081106981
10,30,0.15,-0.05641519390150976
10,50,0.05,-0.06163172609759343
10,50,0.15,-0.061044907145965506
10,70,0.05,-0.06332638374832315
10,70,0.15,-0.06299025194593391
10,100,0.05,-0.06458272088498314
10,100,0.15,-0.06442246102667594
20,1,0.05,-0.07264259590206251
20,1,0.15,-0.07271781458556945
20,5,0.05,-0.04573173299768729
20,5,0.15,-0.04167153489804134
20,10,0.05,-0.05281068273898936
20,10,0.15,-0.050135140512731304
20,20,0.05,-0.060549949687940564
20,20,0.15,-0.05929339118989542
20,30,0.05,-0.06363574642888377
20,30,0.15,-0.06289278659470832
20,50,0.05,-0.06620477248146339
20,50,0.15,-0.06585349000761294
20,70,0.05,-0.06731927974855928
20,70,0.15,-0.06712565570299137
20,100,0.05,-0.06815659251261551
20,100,0.15,-0.06807593919429027
30,1,0.05,-0.07344566925779611
30,1,0.15,-0.07359993547535412
30,5,0.05,-0.04997486879157859
30,5,0.15,-0.04650397964418803
30,10,0.05,-0.05592642207250979
30,10,0.15,-0.05366503716957137
30,20,0.05,-0.06250678316170047
30,20,0.15,-0.06144283623754152
30,30,0.05,-0.06515940135072755
30,30,0.15,-0.06452894009135966
30,50,0.05,-0.06738716697712234
30,50,0.15,-0.06709050695627611
30,70,0.05,-0.06836029669775735
30,70,0.15,-0.06819938117658875
30,100,0.05,-0.06909440503794607
30,100,0.15,-0.06903144192543974
50,1,0.05,-0.07397460857297793
50,1,0.15,-0.07417455967862596
50,5,0.05,-0.05294211988706351
50,5,0.15,-0.04989959214512115
50,10,0.05,-0.05810248170730185
50,10,0.15,-0.05612797574676038
50,20,0.05,-0.06388593008903319
50,20,0.15,-0.06295342658927654
50,30,0.05,-0.06624017704822027
50,30,0.15,-0.06568655000579102
50,50,0.05,-0.06823120791421278
50,50,0.15,-0.06797185230681951
50,70,0.05,-0.06910557046689718
50,70,0.15,-0.06896687816671672
50,100,0.05,-0.06976724239814343
50,100,0.15,-0.06971609777850014
70,1,0.05,-0.07417423243704145
70,1,0.15,-0.074389698084761
70,5,0.05,-0.05410632829698631
70,5,0.15,-0.05123439245815724
70,10,0.05,-0.05895724984313827
70,10,0.15,-0.057094423629275234
70,20,0.05,-0.0644311012339359
70,20,0.15,-0.06354948600362541
70,30,0.05,-0.06666907442043084
70,30,0.15,-0.0661452295911743
70,50,0.05,-0.06856739100139415
70,50,0.15,-0.06832249596411215
70,70,0.05,-0.06940289498844784
70,70,0.15,-0.06927278618460013
70,100,0.05,-0.07003598343843433
70,100,0.15,-0.06998934985393461
100,1,0.05,-0.07431417908250176
100,1,0.15,-0.07453985015850668
100,5,0.05,-0.05493953862426949
100,5,0.15,-0.05219030824557401
100,10,0.05,-0.05956969707081461
100,10,0.15,-0.057786439240237575
100,20,0.05,-0.0648230431807463
100,20,0.15,-0.06397762081585835
100,30,0.05,-0.06697802347593174
100,30,0.15,-0.06647537747464469
100,50,0.05,-0.06880998470088352
100,50,0.15,-0.06857538288573223
100,70,0.05,-0.06961761101554413
100,70,0.15,-0.06949359990071163
100,100,0.05,-0.07023016199191064
100,100,0.15,-0.07018671214870902
