pub_decay_time,data_decay_time,alpha,corr
1,1,0.05,-0.0543852777396677
1,1,0.15,-0.055548992892672754
1,5,0.05,-0.014306284484671264
1,5,0.15,-0.014915058376316286
1,10,0.05,-0.0032302459695116863
1,10,0.15,-0.004040671583661694
1,20,0.05,0.005724824928886261
1,20,0.15,0.004460830627884825
1,30,0.05,0.011394288569037818
1,30,0.15,0.009712161095636464
1,50,0.05,0.020144442122228563
1,50,0.15,0.017775627409875514
1,70,0.05,0.027231254848431755
1,70,0.15,0.024369967351457467
1,100,0.05,0.03583974360324341
1,100,0.15,0.032540383036824896
5,1,0.05,-0.11204314833915147
5,1,0.15,-0.11420654585501167
5,5,0.05,-0.0788781745829371
5,5,0.15,-0.07545929044747693
5,10,0.05,-0.07935616845092998
5,10,0.15,-0.07741694429755708
5,20,0.05,-0.07971008232828625
5,20,0.15,-0.08034181204313022
5,30,0.05,-0.07753937432939385
5,30,0.15,-0.0788016172388556
5,50,0.05,-0.07431676182556815
5,50,0.15,-0.07561768225905786
5,70,0.05,-0.07252316186508152
5,70,0.15,-0.07369333076377117
5,100,0.05,-0.0710310857947123
5,100,0.15,-0.07205120754311334
10,1,0.05,-0.10643511979808432
10,1,0.15,-0.10979058841248826
10,5,0.05,-0.09865913007853122
10,5,0.15,-0.09897863086573194
10,10,0.05,-0.09169073106500411
10,10,0.15,-0.09295022168598496
10,20,0.05,-0.08517829424636467
10,20,0.15,-0.0866191601467108
10,30,0.05,-0.08204006449589632
10,30,0.15,-0.08327496757181405
10,50,0.05,-0.07912470094202344
10,50,0.15,-0.08007270148861091
10,70,0.05,-0.07776845300445476
10,70,0.15,-0.07856291657768301
10,100,0.05,-0.0767117907106162
10,100,0.15,-0.07738068446871217
20,1,0.05,-0.10142097249830473
20,1,0.15,-0.10436963057756417
20,5,0.05,-0.0992995921509034
20,5,0.15,-0.10098705621421071
20,10,0.05,-0.09148884194613603
20,10,0.15,-0.09312682690159614
20,20,0.05,-0.08519634206901838
20,20,0.15,-0.08646618573926919
20,30,0.05,-0.0825328797158158
20,30,0.15,-0.08354469895744669
20,50,0.05,-0.08017488063279608
20,50,0.15,-0.08092469122138082
20,70,0.05,-0.07910293090097935
20,70,0.15,-0.07972633616972807
20,100,0.05,-0.07827549704939535
20,100,0.15,-0.07879909649055004
30,1,0.05,-0.0998025689636262
30,1,0.15,-0.10256279482705916
30,5,0.05,-0.09868661872364223
30,5,0.15,-0.10057126666771217
30,10,0.05,-0.09104636637024648
30,10,0.15,-0.09267709586231798
30,20,0.05,-0.08505991145528521
30,20,0.15,-0.08625000882282907
30,30,0.05,-0.08258297390311621
30,30,0.15,-0.08351912404011738
30,50,0.05,-0.08040939465306601
30,50,0.15,-0.08109900433006316
30,70,0.05,-0.07942560027514675
30,70,0.15,-0.07999841559785346
30,100,0.05,-0.0786675807747567
30,100,0.15,-0.07914879422220006
50,1,0.05,-0.09855571286534101
50,1,0.15,-0.10115907764391008
50,5,0.05,-0.09802687452120588
50,5,0.15,-0.09999472541255283
50,10,0.05,-0.09062398809114579
50,10,0.15,-0.09222054403906457
50,20,0.05,-0.08492150805668587
50,20,0.15,-0.08604542706715869
50,30,0.05,-0.08259461611303305
50,30,0.15,-0.08347184721179728
50,50,0.05,-0.08056386158583305
50,50,0.15,-0.0812078700621165
50,70,0.05,-0.0796472316697501
50,70,0.15,-0.08018199445417544
50,100,0.05,-0.07894176546038786
50,100,0.15,-0.07939120907493438
70,1,0.05,-0.09803627805196521
70,1,0.15,-0.10057184692988876
70,5,0.05,-0.09771054105769333
70,5,0.15,-0.09969705710283458
70,10,0.05,-0.09042999667858895
70,10,0.15,-0.09200610817152961
70,20,0.05,-0.08485603727059879
70,20,0.15,-0.08595140068458702
70,30,0.05,-0.08259296038544783
70,30,0.15,-0.0834455276885073
70,50,0.05,-0.08062183659890479
70,50,0.15,-0.08124701909324865
70,70,0.05,-0.07973301722245849
70,70,0.15,-0.08025212634217711
70,100,0.05,-0.07904924089338011
70,100,0.15,-0.07948563798870306
100,1,0.05,-0.09765292787208434
100,1,0.15,-0.10013765681480206
100,5,0.05,-0.09746284874802816
100,5,0.15,-0.09945751501489891
100,10,0.05,-0.09028059932284213
100,10,0.15,-0.09183952112075937
100,20,0.05,-0.08480489612797647
100,20,0.15,-0.08587886052427707
100,30,0.05,-0.082589341565525
100,30,0.15,-0.08342367092567406
100,50,0.05,-0.08066226098184817
100,50,0.15,-0.08127360901215287
100,70,0.05,-0.07979390563636496
100,70,0.15,-0.08030152991344935
100,100,0.05,-0.07912606584687876
100,100,0.15,-0.07955289816232952
