pub_decay_time,data_decay_time,alpha,corr
1,1,0.05,0.017777509822891932
1,1,0.15,0.01664221822251292
1,5,0.05,0.06885218045693307
1,5,0.15,0.06828014267705868
1,10,0.05,0.07708838776865633
1,10,0.15,0.07633410709939266
1,20,0.05,0.08410912445143541
1,20,0.15,0.08297538830251919
1,30,0.05,0.0888521492118589
1,30,0.15,0.08740665857363494
1,50,0.05,0.09614107495831879
1,50,0.15,0.09428392412008374
1,70,0.05,0.10170603621855107
1,70,0.15,0.09967051199304801
1,100,0.05,0.10783208346813354
1,100,0.15,0.1058241961043629
5,1,0.05,-0.0558289720360851
5,1,0.15,-0.053687075355949784
5,5,0.05,0.012866634281201564
5,5,0.15,0.019127297853036865
5,10,0.05,-0.0016526718321026896
5,10,0.15,0.005462170170996264
5,20,0.05,-0.02715206298037007
5,20,0.15,-0.022174540360012224
5,30,0.05,-0.03878218940569861
5,30,0.15,-0.03562752519056904
5,50,0.05,-0.04823021120401299
5,50,0.15,-0.046672067619010486
5,70,0.05,-0.05211363709263562
5,70,0.15,-0.05118532304446253
5,100,0.05,-0.054910150817586184
5,100,0.15,-0.05440990548525748
10,1,0.05,-0.07195118611122366
10,1,0.15,-0.07169216851429439
10,5,0.05,-0.03264818861472232
10,5,0.15,-0.02674310548727456
10,10,0.05,-0.04354345252133406
10,10,0.15,-0.03935265764058232
10,20,0.05,-0.0555557492916306
10,20,0.15,-0.05358115771024292
10,30,0.05,-0.06020404191952764
10,30,0.15,-0.05905665785456379
10,50,0.05,-0.06395241310065156
10,50,0.15,-0.06341674423941847
10,70,0.05,-0.06553564748649228
10,70,0.15,-0.06523688778042488
10,100,0.05,-0.06670579639493078
10,100,0.15,-0.0665721347392422
20,1,0.05,-0.07533490480455204
20,1,0.15,-0.07550099364083407
20,5,0.05,-0.04910293504023593
20,5,0.15,-0.045158601115253265
20,10,0.05,-0.05580574743744213
20,10,0.15,-0.053250121209128726
20,20,0.05,-0.06310181909085541
20,20,0.15,-0.06192857030204435
20,30,0.05,-0.06598535500725625
20,30,0.15,-0.06530222925344567
20,50,0.05,-0.06837312848932023
20,50,0.15,-0.06805928951693575
20,70,0.05,-0.0694051190926294
20,70,0.15,-0.06923861530820986
20,100,0.05,-0.07017881873875312
20,100,0.15,-0.07011734747259986
30,1,0.05,-0.07604718031022663
30,1,0.15,-0.0762862247150297
30,5,0.05,-0.05322953798396253
30,5,0.15,-0.0498842291917246
30,10,0.05,-0.05880938624235571
30,10,0.15,-0.056663375582435525
30,20,0.05,-0.06497797771177574
30,20,0.15,-0.06398996537549603
30,30,0.05,-0.06744693036550747
30,30,0.15,-0.06687043412790931
30,50,0.05,-0.06951105415333315
30,50,0.15,-0.06924799420173108
30,70,0.05,-0.07040981243217338
30,70,0.15,-0.07027319544467354
30,100,0.05,-0.0710865976992039
30,100,0.15,-0.07104079650269826
50,1,0.05,-0.07650713507990145
50,1,0.15,-0.07678665466312498
50,5,0.05,-0.05609862910580341
50,5,0.15,-0.053184428996209815
50,10,0.05,-0.06089824198060382
50,10,0.15,-0.05903385525251735
50,20,0.05,-0.06629646824540009
50,20,0.15,-0.06543416311721062
50,30,0.05,-0.0684811885739772
50,30,0.15,-0.06797714249922127
50,50,0.05,-0.07032165576320104
50,50,0.15,-0.07009307997281919
50,70,0.05,-0.07112764449299538
50,70,0.15,-0.07101118965174993
50,100,0.05,-0.07173661366906257
50,100,0.15,-0.07170115937373284
70,1,0.05,-0.0766782556337627
70,1,0.15,-0.07697101920918747
70,5,0.05,-0.05722025015258812
70,5,0.15,-0.05447670636933748
70,10,0.05,-0.06171659080634016
70,10,0.15,-0.05996134081197082
70,20,0.05,-0.06681670797056087
70,20,0.15,-0.06600290190180792
70,30,0.05,-0.06889098313519607
70,30,0.15,-0.06841492849213142
70,50,0.05,-0.07064406597252218
70,50,0.15,-0.07042880882019426
70,70,0.05,-0.07141363047102971
70,70,0.15,-0.07130492648350477
70,100,0.05,-0.07199588941863327
70,100,0.15,-0.07196435247897949
100,1,0.05,-0.0767972526937627
100,1,0.15,-0.0770985149604671
100,5,0.05,-0.05802149108146722
100,5,0.15,-0.055400328139783954
100,10,0.05,-0.06230215137669551
100,10,0.15,-0.06062447999550148
100,20,0.05,-0.0671903679819252
100,20,0.15,-0.06641099457622081
100,30,0.05,-0.06918592582714952
100,30,0.15,-0.0687297619052164
100,50,0.05,-0.07087654352765434
100,50,0.15,-0.07067074867826073
100,70,0.05,-0.0716200040060849
100,70,0.15,-0.07151679244887264
100,100,0.05,-0.07218308972148862
100,100,0.15,-0.07215430523977623
