pub_decay_time,data_decay_time,alpha,corr
1,1,0.05,0.0009934261547837736
1,1,0.15,-0.0023459373967905
1,5,0.05,0.028486020135457733
1,5,0.15,0.026421745829229792
1,10,0.05,0.04154219587876754
1,10,0.15,0.03878839755852606
1,20,0.05,0.059245336060635506
1,20,0.15,0.05521652506839348
1,30,0.05,0.07341859389626328
1,30,0.15,0.0685456890084669
1,50,0.05,0.09516761705273985
1,50,0.15,0.08976499089380953
1,70,0.05,0.11035917553703582
1,70,0.15,0.10539618639677964
1,100,0.05,0.12511235679764718
1,100,0.15,0.12145413458903091
5,1,0.05,-0.03120930210660975
5,1,0.15,-0.033111785359651764
5,5,0.05,0.0015090215705210576
5,5,0.15,0.0020680153212406615
5,10,0.05,0.0036646504448121842
5,10,0.15,0.004565730766306367
5,20,0.05,-0.00028387653074164347
5,20,0.15,0.0004055339510561292
5,30,0.05,-0.0030122207494902953
5,30,0.15,-0.0026790934929419533
5,50,0.05,-0.005639868979519368
5,50,0.15,-0.005690843487470681
5,70,0.05,-0.006843637430151478
5,70,0.15,-0.007066799837413426
5,100,0.05,-0.007762130440260194
5,100,0.15,-0.008110508477711843
10,1,0.05,-0.05044973717398817
10,1,0.15,-0.05230260639124821
10,5,0.05,-0.03064023759594963
10,5,0.15,-0.029514932604206928
10,10,0.05,-0.03059672687973991
10,10,0.15,-0.03002387003284127
10,20,0.05,-0.032379481869423514
10,20,0.15,-0.03246446385963302
10,30,0.05,-0.03308644468107684
10,30,0.15,-0.03337058944509222
10,50,0.05,-0.033621761974711034
10,50,0.15,-0.03402458131360467
10,70,0.05,-0.033833627895168084
10,70,0.15,-0.03427270168842809
10,100,0.05,-0.03398347022049856
10,100,0.15,-0.03444339938929732
20,1,0.05,-0.0562796739884873
20,1,0.15,-0.05801147201781504
20,5,0.05,-0.0435445799578725
20,5,0.15,-0.04315306336140424
20,10,0.05,-0.042456156031571754
20,10,0.15,-0.042445141938936594
20,20,0.05,-0.04264401838045059
20,20,0.15,-0.04295142508009185
20,30,0.05,-0.04271375991219402
20,30,0.15,-0.04309243408480158
20,50,0.05,-0.04273773098981963
20,50,0.15,-0.04314639103205386
20,70,0.05,-0.04273499889708336
20,70,0.15,-0.04314782263364299
20,100,0.05,-0.042726807323588065
20,100,0.15,-0.04313912083781106
30,1,0.05,-0.057719292186329374
30,1,0.15,-0.05938112517469435
30,5,0.05,-0.04687799109426262
30,5,0.15,-0.04672319110500685
30,10,0.05,-0.04550058239944438
30,10,0.15,-0.045623106879492184
30,20,0.05,-0.04533079263591016
30,20,0.15,-0.045674587648306224
30,30,0.05,-0.04526957151635344
30,30,0.15,-0.045655750280133245
30,50,0.05,-0.04519193611352242
30,50,0.15,-0.04558974865678922
30,70,0.05,-0.04514739992509129
30,70,0.15,-0.04554311600555054
30,100,0.05,-0.04510873045483509
30,100,0.15,-0.04549991471294067
50,1,0.05,-0.058717923899823124
50,1,0.15,-0.060316077887002065
50,5,0.05,-0.04920811172204912
50,5,0.15,-0.049218470089537676
50,10,0.05,-0.0476482221407653
50,10,0.15,-0.047855432910425266
50,20,0.05,-0.04725308196145237
50,20,0.15,-0.04761538179231702
50,30,0.05,-0.04711085555316625
50,30,0.15,-0.04749698335467403
50,50,0.05,-0.04697100963405421
50,50,0.15,-0.04735730928491583
50,70,0.05,-0.046901070574870876
50,70,0.15,-0.047281460747451674
50,100,0.05,-0.04684396400907107
50,100,0.15,-0.04721741814503669
70,1,0.05,-0.059107704358692274
70,1,0.15,-0.060676915062452146
70,5,0.05,-0.05012024848831318
70,5,0.15,-0.0501937403305784
70,10,0.05,-0.04849603861687026
70,10,0.15,-0.048733826477777596
70,20,0.05,-0.048019526737540036
70,20,0.15,-0.048387266795695105
70,30,0.05,-0.04784829704349353
70,30,0.15,-0.048233034586729055
70,50,0.05,-0.04768632073081976
70,50,0.15,-0.04806708648294488
70,70,0.05,-0.04760739383990001
70,70,0.15,-0.04798089670024749
70,100,0.05,-0.047543786523040726
70,100,0.15,-0.04790951255844513
100,1,0.05,-0.05938585184596253
100,1,0.15,-0.0609328178732951
100,5,0.05,-0.050771839741651816
100,5,0.15,-0.05088955207501855
100,10,0.05,-0.04910480404505425
100,10,0.15,-0.04936339326590997
100,20,0.05,-0.04857285438777728
100,20,0.15,-0.048943792263260795
100,30,0.05,-0.048381932226626276
100,30,0.15,-0.0487651541106473
100,50,0.05,-0.04820498235631103
100,50,0.15,-0.048581400653823784
100,70,0.05,-0.048119993387679194
100,70,0.15,-0.04848823366230175
100,100,0.05,-0.04805201060075375
100,100,0.15,-0.04841191066689029
