pub_decay_time,data_decay_time,alpha,corr,diff
10,30,0.05,-0.029828289,20
10,30,0.15,-0.029933931,20
30,50,0.05,-0.042667481,20
30,50,0.15,-0.042992004,20
50,70,0.05,-0.044559468,20
50,70,0.15,-0.044891064,20
1,20,0.05,0.062759892,19
1,20,0.15,0.05880996,19
5,20,0.15,0.005302325,15
5,20,0.05,0.004315018,15
10,20,0.15,-0.028382824,10
10,20,0.05,-0.028548316,10
20,30,0.05,-0.039755917,10
20,30,0.15,-0.040001982,10
1,10,0.05,0.045475491,9
1,10,0.15,0.042776768,9
5,10,0.15,0.010511941,5
5,10,0.05,0.009413963,5
1,5,0.05,0.032817207,4
1,5,0.15,0.030796083,4
5,5,0.15,0.008469121,0
5,5,0.05,0.007854397,0
1,1,0.05,0.006200719,0
1,1,0.15,0.002949047,0
10,10,0.15,-0.024548105,0
10,10,0.05,-0.025477845,0
20,20,0.05,-0.039246987,0
20,20,0.15,-0.039362697,0
30,30,0.05,-0.042402758,0
30,30,0.15,-0.042669681,0
50,50,0.05,-0.044488882,0
50,50,0.15,-0.044808005,0
70,70,0.05,-0.045278632,0
70,70,0.15,-0.045605144,0
100,100,0.05,-0.045833719,0
100,100,0.15,-0.046160877,0
5,1,0.05,-0.02509847,-4
5,1,0.15,-0.026677957,-4
10,5,0.15,-0.02291683,-5
10,5,0.05,-0.024378443,-5
10,1,0.05,-0.045499554,-9
10,1,0.15,-0.04700488,-9
20,10,0.15,-0.037676039,-10
20,10,0.05,-0.038004927,-10
30,20,0.05,-0.042065963,-10
30,20,0.15,-0.04223662,-10
20,5,0.15,-0.037213834,-15
20,5,0.05,-0.037999477,-15
20,1,0.05,-0.052016084,-19
20,1,0.15,-0.053462656,-19
30,10,0.15,-0.041097895,-20
30,10,0.05,-0.041270298,-20
50,30,0.05,-0.044313105,-20
50,30,0.15,-0.044589863,-20
70,50,0.05,-0.045221837,-20
70,50,0.15,-0.045537902,-20
