type,downloads,n,pdf,log_x,label
figshare,32,6,0.006355932,1.505149978,-2.196820744
figshare,33,11,0.011652542,1.51851394,-1.933579309
figshare,34,12,0.012711864,1.531478917,-1.895790748
figshare,35,10,0.01059322,1.544068044,-1.974971994
figshare,36,5,0.00529661,1.556302501,-2.27600199
figshare,37,8,0.008474576,1.568201724,-2.071882007
figshare,38,11,0.011652542,1.579783597,-1.933579309
figshare,39,8,0.008474576,1.591064607,-2.071882007
figshare,40,6,0.006355932,1.602059991,-2.196820744
figshare,41,7,0.007415254,1.612783857,-2.129873954
figshare,42,10,0.01059322,1.62324929,-1.974971994
figshare,43,8,0.008474576,1.633468456,-2.071882007
figshare,44,11,0.011652542,1.643452676,-1.933579309
figshare,45,5,0.00529661,1.653212514,-2.27600199
figshare,46,7,0.007415254,1.662757832,-2.129873954
figshare,47,4,0.004237288,1.672097858,-2.372912003
figshare,48,4,0.004237288,1.681241237,-2.372912003
figshare,49,6,0.006355932,1.69019608,-2.196820744
figshare,50,7,0.007415254,1.698970004,-2.129873954
figshare,51,8,0.008474576,1.707570176,-2.071882007
figshare,52,4,0.004237288,1.716003344,-2.372912003
figshare,53,9,0.009533898,1.72427587,-2.020729485
figshare,54,4,0.004237288,1.73239376,-2.372912003
figshare,55,5,0.00529661,1.740362689,-2.27600199
figshare,56,4,0.004237288,1.748188027,-2.372912003
figshare,57,5,0.00529661,1.755874856,-2.27600199
figshare,58,3,0.003177966,1.763427994,-2.49785074
figshare,59,5,0.00529661,1.770852012,-2.27600199
figshare,60,3,0.003177966,1.77815125,-2.49785074
figshare,61,3,0.003177966,1.785329835,-2.49785074
figshare,62,4,0.004237288,1.792391689,-2.372912003
figshare,64,3,0.003177966,1.806179974,-2.49785074
figshare,65,4,0.004237288,1.812913357,-2.372912003
figshare,66,4,0.004237288,1.819543936,-2.372912003
figshare,67,2,0.002118644,1.826074803,-2.673941999
figshare,68,1,0.001059322,1.832508913,-2.974971994
figshare,69,2,0.002118644,1.838849091,-2.673941999
figshare,70,3,0.003177966,1.84509804,-2.49785074
figshare,71,2,0.002118644,1.851258349,-2.673941999
figshare,73,2,0.002118644,1.86332286,-2.673941999
figshare,74,3,0.003177966,1.86923172,-2.49785074
figshare,75,1,0.001059322,1.875061263,-2.974971994
figshare,76,2,0.002118644,1.880813592,-2.673941999
figshare,77,1,0.001059322,1.886490725,-2.974971994
figshare,78,1,0.001059322,1.892094603,-2.974971994
figshare,79,3,0.003177966,1.897627091,-2.49785074
figshare,80,1,0.001059322,1.903089987,-2.974971994
figshare,81,1,0.001059322,1.908485019,-2.974971994
figshare,82,1,0.001059322,1.913813852,-2.974971994
figshare,83,5,0.00529661,1.919078092,-2.27600199
figshare,84,2,0.002118644,1.924279286,-2.673941999
figshare,85,2,0.002118644,1.929418926,-2.673941999
figshare,86,1,0.001059322,1.934498451,-2.974971994
figshare,87,5,0.00529661,1.939519253,-2.27600199
figshare,88,5,0.00529661,1.944482672,-2.27600199
figshare,89,2,0.002118644,1.949390007,-2.673941999
figshare,90,2,0.002118644,1.954242509,-2.673941999
figshare,91,4,0.004237288,1.959041392,-2.372912003
figshare,92,1,0.001059322,1.963787827,-2.974971994
figshare,93,5,0.00529661,1.968482949,-2.27600199
figshare,94,1,0.001059322,1.973127854,-2.974971994
figshare,95,3,0.003177966,1.977723605,-2.49785074
figshare,96,2,0.002118644,1.982271233,-2.673941999
figshare,97,3,0.003177966,1.986771734,-2.49785074
figshare,99,2,0.002118644,1.995635195,-2.673941999
figshare,100,1,0.001059322,2,-2.974971994
figshare,101,2,0.002118644,2.004321374,-2.673941999
figshare,102,2,0.002118644,2.008600172,-2.673941999
figshare,106,4,0.004237288,2.025305865,-2.372912003
figshare,107,1,0.001059322,2.029383778,-2.974971994
figshare,109,3,0.003177966,2.037426498,-2.49785074
figshare,110,1,0.001059322,2.041392685,-2.974971994
figshare,111,2,0.002118644,2.045322979,-2.673941999
figshare,112,3,0.003177966,2.049218023,-2.49785074
figshare,113,1,0.001059322,2.053078443,-2.974971994
figshare,114,1,0.001059322,2.056904851,-2.974971994
figshare,115,1,0.001059322,2.06069784,-2.974971994
figshare,116,2,0.002118644,2.064457989,-2.673941999
figshare,117,2,0.002118644,2.068185862,-2.673941999
figshare,118,2,0.002118644,2.071882007,-2.673941999
figshare,120,1,0.001059322,2.079181246,-2.974971994
figshare,121,1,0.001059322,2.08278537,-2.974971994
figshare,122,1,0.001059322,2.086359831,-2.974971994
figshare,123,1,0.001059322,2.089905111,-2.974971994
figshare,124,1,0.001059322,2.093421685,-2.974971994
figshare,125,3,0.003177966,2.096910013,-2.49785074
figshare,126,2,0.002118644,2.100370545,-2.673941999
figshare,128,2,0.002118644,2.10720997,-2.673941999
figshare,129,2,0.002118644,2.11058971,-2.673941999
figshare,130,2,0.002118644,2.113943352,-2.673941999
figshare,131,4,0.004237288,2.117271296,-2.372912003
figshare,132,4,0.004237288,2.120573931,-2.372912003
figshare,133,2,0.002118644,2.123851641,-2.673941999
figshare,135,2,0.002118644,2.130333768,-2.673941999
figshare,136,3,0.003177966,2.133538908,-2.49785074
figshare,138,3,0.003177966,2.139879086,-2.49785074
figshare,139,1,0.001059322,2.1430148,-2.974971994
figshare,142,3,0.003177966,2.152288344,-2.49785074
figshare,143,1,0.001059322,2.155336037,-2.974971994
figshare,144,2,0.002118644,2.158362492,-2.673941999
figshare,145,2,0.002118644,2.161368002,-2.673941999
figshare,148,1,0.001059322,2.170261715,-2.974971994
figshare,150,1,0.001059322,2.176091259,-2.974971994
figshare,152,1,0.001059322,2.181843588,-2.974971994
figshare,153,1,0.001059322,2.184691431,-2.974971994
figshare,156,1,0.001059322,2.193124598,-2.974971994
figshare,158,1,0.001059322,2.198657087,-2.974971994
figshare,159,1,0.001059322,2.201397124,-2.974971994
figshare,160,1,0.001059322,2.204119983,-2.974971994
figshare,161,2,0.002118644,2.206825876,-2.673941999
figshare,162,1,0.001059322,2.209515015,-2.974971994
figshare,163,1,0.001059322,2.212187604,-2.974971994
figshare,164,1,0.001059322,2.214843848,-2.974971994
figshare,166,2,0.002118644,2.220108088,-2.673941999
figshare,167,1,0.001059322,2.222716471,-2.974971994
figshare,169,2,0.002118644,2.227886705,-2.673941999
figshare,170,2,0.002118644,2.230448921,-2.673941999
figshare,175,3,0.003177966,2.243038049,-2.49785074
figshare,179,1,0.001059322,2.252853031,-2.974971994
figshare,185,1,0.001059322,2.267171728,-2.974971994
figshare,186,1,0.001059322,2.269512944,-2.974971994
figshare,187,2,0.002118644,2.271841607,-2.673941999
figshare,192,2,0.002118644,2.283301229,-2.673941999
figshare,193,1,0.001059322,2.285557309,-2.974971994
figshare,195,1,0.001059322,2.290034611,-2.974971994
figshare,197,1,0.001059322,2.294466226,-2.974971994
