row,downloads,n,prodf
"1",1,7,0.00741525423728814
"2",2,6,0.00635593220338983
"3",3,8,0.00847457627118644
"4",4,16,0.0169491525423729
"5",5,7,0.00741525423728814
"6",6,9,0.00953389830508475
"7",7,7,0.00741525423728814
"8",8,5,0.00529661016949153
"9",9,4,0.00423728813559322
"10",10,19,0.0201271186440678
"11",11,9,0.00953389830508475
"12",12,11,0.0116525423728814
"13",13,16,0.0169491525423729
"14",14,7,0.00741525423728814
"15",15,16,0.0169491525423729
"16",16,11,0.0116525423728814
"17",17,11,0.0116525423728814
"18",18,17,0.0180084745762712
"19",19,20,0.0211864406779661
"20",20,20,0.0211864406779661
"21",21,14,0.0148305084745763
"22",22,15,0.0158898305084746
"23",23,11,0.0116525423728814
"24",24,9,0.00953389830508475
"25",25,18,0.0190677966101695
"26",26,11,0.0116525423728814
"27",27,10,0.0105932203389831
"28",28,8,0.00847457627118644
"29",29,10,0.0105932203389831
"30",30,10,0.0105932203389831
"31",31,10,0.0105932203389831
"32",32,6,0.00635593220338983
"33",33,11,0.0116525423728814
"34",34,12,0.0127118644067797
"35",35,10,0.0105932203389831
"36",36,5,0.00529661016949153
"37",37,8,0.00847457627118644
"38",38,11,0.0116525423728814
"39",39,8,0.00847457627118644
"40",40,6,0.00635593220338983
"41",41,7,0.00741525423728814
"42",42,10,0.0105932203389831
"43",43,8,0.00847457627118644
"44",44,11,0.0116525423728814
"45",45,5,0.00529661016949153
"46",46,7,0.00741525423728814
"47",47,4,0.00423728813559322
"48",48,4,0.00423728813559322
"49",49,6,0.00635593220338983
"50",50,7,0.00741525423728814
"51",51,8,0.00847457627118644
"52",52,4,0.00423728813559322
"53",53,9,0.00953389830508475
"54",54,4,0.00423728813559322
"55",55,5,0.00529661016949153
"56",56,4,0.00423728813559322
"57",57,5,0.00529661016949153
"58",58,3,0.00317796610169492
"59",59,5,0.00529661016949153
"60",60,3,0.00317796610169492
"61",61,3,0.00317796610169492
"62",62,4,0.00423728813559322
"63",64,3,0.00317796610169492
"64",65,4,0.00423728813559322
"65",66,4,0.00423728813559322
"66",67,2,0.00211864406779661
"67",68,1,0.00105932203389831
"68",69,2,0.00211864406779661
"69",70,3,0.00317796610169492
"70",71,2,0.00211864406779661
"71",73,2,0.00211864406779661
"72",74,3,0.00317796610169492
"73",75,1,0.00105932203389831
"74",76,2,0.00211864406779661
"75",77,1,0.00105932203389831
"76",78,1,0.00105932203389831
"77",79,3,0.00317796610169492
"78",80,1,0.00105932203389831
"79",81,1,0.00105932203389831
"80",82,1,0.00105932203389831
"81",83,5,0.00529661016949153
"82",84,2,0.00211864406779661
"83",85,2,0.00211864406779661
"84",86,1,0.00105932203389831
"85",87,5,0.00529661016949153
"86",88,5,0.00529661016949153
"87",89,2,0.00211864406779661
"88",90,2,0.00211864406779661
"89",91,4,0.00423728813559322
"90",92,1,0.00105932203389831
"91",93,5,0.00529661016949153
"92",94,1,0.00105932203389831
"93",95,3,0.00317796610169492
"94",96,2,0.00211864406779661
"95",97,3,0.00317796610169492
"96",99,2,0.00211864406779661
"97",100,1,0.00105932203389831
"98",101,2,0.00211864406779661
"99",102,2,0.00211864406779661
"100",106,4,0.00423728813559322
"101",107,1,0.00105932203389831
"102",109,3,0.00317796610169492
"103",110,1,0.00105932203389831
"104",111,2,0.00211864406779661
"105",112,3,0.00317796610169492
"106",113,1,0.00105932203389831
"107",114,1,0.00105932203389831
"108",115,1,0.00105932203389831
"109",116,2,0.00211864406779661
"110",117,2,0.00211864406779661
"111",118,2,0.00211864406779661
"112",120,1,0.00105932203389831
"113",121,1,0.00105932203389831
"114",122,1,0.00105932203389831
"115",123,1,0.00105932203389831
"116",124,1,0.00105932203389831
"117",125,3,0.00317796610169492
"118",126,2,0.00211864406779661
"119",128,2,0.00211864406779661
"120",129,2,0.00211864406779661
"121",130,2,0.00211864406779661
"122",131,4,0.00423728813559322
"123",132,4,0.00423728813559322
"124",133,2,0.00211864406779661
"125",135,2,0.00211864406779661
"126",136,3,0.00317796610169492
"127",138,3,0.00317796610169492
"128",139,1,0.00105932203389831
"129",142,3,0.00317796610169492
"130",143,1,0.00105932203389831
"131",144,2,0.00211864406779661
"132",145,2,0.00211864406779661
"133",148,1,0.00105932203389831
"134",150,1,0.00105932203389831
"135",152,1,0.00105932203389831
"136",153,1,0.00105932203389831
"137",156,1,0.00105932203389831
"138",158,1,0.00105932203389831
"139",159,1,0.00105932203389831
"140",160,1,0.00105932203389831
"141",161,2,0.00211864406779661
"142",162,1,0.00105932203389831
"143",163,1,0.00105932203389831
"144",164,1,0.00105932203389831
"145",166,2,0.00211864406779661
"146",167,1,0.00105932203389831
"147",169,2,0.00211864406779661
"148",170,2,0.00211864406779661
"149",175,3,0.00317796610169492
"150",179,1,0.00105932203389831
"151",185,1,0.00105932203389831
"152",186,1,0.00105932203389831
"153",187,2,0.00211864406779661
"154",192,2,0.00211864406779661
"155",193,1,0.00105932203389831
"156",195,1,0.00105932203389831
"157",197,1,0.00105932203389831
"158",200,2,0.00211864406779661
"159",203,1,0.00105932203389831
"160",206,2,0.00211864406779661
"161",207,4,0.00423728813559322
"162",208,1,0.00105932203389831
"163",209,2,0.00211864406779661
"164",210,1,0.00105932203389831
"165",212,1,0.00105932203389831
"166",213,1,0.00105932203389831
"167",214,2,0.00211864406779661
"168",215,1,0.00105932203389831
"169",218,1,0.00105932203389831
"170",221,1,0.00105932203389831
"171",226,1,0.00105932203389831
"172",227,1,0.00105932203389831
"173",230,1,0.00105932203389831
"174",235,1,0.00105932203389831
"175",236,1,0.00105932203389831
"176",237,1,0.00105932203389831
"177",238,1,0.00105932203389831
"178",240,1,0.00105932203389831
"179",242,1,0.00105932203389831
"180",245,1,0.00105932203389831
"181",246,2,0.00211864406779661
"182",251,2,0.00211864406779661
"183",253,1,0.00105932203389831
"184",257,1,0.00105932203389831
"185",259,1,0.00105932203389831
"186",260,1,0.00105932203389831
"187",262,1,0.00105932203389831
"188",263,1,0.00105932203389831
"189",266,1,0.00105932203389831
"190",271,1,0.00105932203389831
"191",277,1,0.00105932203389831
"192",278,1,0.00105932203389831
"193",288,1,0.00105932203389831
"194",290,1,0.00105932203389831
"195",295,1,0.00105932203389831
"196",297,1,0.00105932203389831
"197",301,1,0.00105932203389831
"198",302,1,0.00105932203389831
"199",306,1,0.00105932203389831
"200",308,1,0.00105932203389831
"201",311,1,0.00105932203389831
"202",313,1,0.00105932203389831
"203",315,2,0.00211864406779661
"204",316,2,0.00211864406779661
"205",317,2,0.00211864406779661
"206",324,1,0.00105932203389831
"207",326,1,0.00105932203389831
"208",335,1,0.00105932203389831
"209",336,1,0.00105932203389831
"210",337,1,0.00105932203389831
"211",338,3,0.00317796610169492
"212",341,1,0.00105932203389831
"213",342,1,0.00105932203389831
"214",350,1,0.00105932203389831
"215",357,1,0.00105932203389831
"216",361,1,0.00105932203389831
"217",362,1,0.00105932203389831
"218",363,1,0.00105932203389831
"219",367,4,0.00423728813559322
"220",371,1,0.00105932203389831
"221",373,1,0.00105932203389831
"222",376,2,0.00211864406779661
"223",380,1,0.00105932203389831
"224",388,1,0.00105932203389831
"225",390,1,0.00105932203389831
"226",393,1,0.00105932203389831
"227",394,1,0.00105932203389831
"228",396,1,0.00105932203389831
"229",398,1,0.00105932203389831
"230",408,1,0.00105932203389831
"231",412,1,0.00105932203389831
"232",413,1,0.00105932203389831
"233",423,1,0.00105932203389831
"234",424,1,0.00105932203389831
"235",432,1,0.00105932203389831
"236",433,1,0.00105932203389831
"237",434,1,0.00105932203389831
"238",440,1,0.00105932203389831
"239",443,2,0.00211864406779661
"240",449,1,0.00105932203389831
"241",453,1,0.00105932203389831
"242",454,1,0.00105932203389831
"243",456,1,0.00105932203389831
"244",457,1,0.00105932203389831
"245",470,1,0.00105932203389831
"246",473,1,0.00105932203389831
"247",479,1,0.00105932203389831
"248",483,2,0.00211864406779661
"249",504,1,0.00105932203389831
"250",506,1,0.00105932203389831
"251",509,1,0.00105932203389831
"252",515,1,0.00105932203389831
"253",517,1,0.00105932203389831
"254",530,2,0.00211864406779661
"255",531,1,0.00105932203389831
"256",535,1,0.00105932203389831
"257",555,1,0.00105932203389831
"258",560,1,0.00105932203389831
"259",576,1,0.00105932203389831
"260",582,1,0.00105932203389831
"261",583,1,0.00105932203389831
"262",599,1,0.00105932203389831
"263",600,1,0.00105932203389831
"264",612,1,0.00105932203389831
"265",615,1,0.00105932203389831
"266",626,1,0.00105932203389831
"267",634,1,0.00105932203389831
"268",635,2,0.00211864406779661
"269",668,2,0.00211864406779661
"270",687,2,0.00211864406779661
"271",708,1,0.00105932203389831
"272",716,1,0.00105932203389831
"273",725,1,0.00105932203389831
"274",729,1,0.00105932203389831
"275",734,2,0.00211864406779661
"276",738,1,0.00105932203389831
"277",739,1,0.00105932203389831
"278",755,1,0.00105932203389831
"279",765,1,0.00105932203389831
"280",805,2,0.00211864406779661
"281",935,2,0.00211864406779661
"282",1045,1,0.00105932203389831
"283",1127,2,0.00211864406779661
"284",1145,1,0.00105932203389831
"285",1179,1,0.00105932203389831
"286",1195,1,0.00105932203389831
"287",1210,1,0.00105932203389831
"288",1231,1,0.00105932203389831
"289",1245,1,0.00105932203389831
"290",1253,1,0.00105932203389831
"291",1261,1,0.00105932203389831
"292",1263,1,0.00105932203389831
"293",1291,1,0.00105932203389831
"294",1326,1,0.00105932203389831
"295",1331,1,0.00105932203389831
"296",1360,1,0.00105932203389831
"297",1405,1,0.00105932203389831
"298",1415,1,0.00105932203389831
"299",1422,1,0.00105932203389831
"300",1451,1,0.00105932203389831
"301",1486,1,0.00105932203389831
"302",1525,1,0.00105932203389831
"303",1648,1,0.00105932203389831
"304",1691,1,0.00105932203389831
"305",1788,1,0.00105932203389831
"306",1840,1,0.00105932203389831
"307",1939,1,0.00105932203389831
"308",1947,1,0.00105932203389831
"309",2068,1,0.00105932203389831
"310",2141,1,0.00105932203389831
"311",2205,1,0.00105932203389831
"312",2407,1,0.00105932203389831
"313",2480,1,0.00105932203389831
"314",2665,1,0.00105932203389831
"315",2882,1,0.00105932203389831
"316",2892,1,0.00105932203389831
"317",2909,1,0.00105932203389831
"318",2951,1,0.00105932203389831
"319",3276,1,0.00105932203389831
"320",3394,1,0.00105932203389831
"321",3432,1,0.00105932203389831
"322",3927,1,0.00105932203389831
"323",5152,2,0.00211864406779661
"324",5634,2,0.00211864406779661
"325",5981,1,0.00105932203389831
"326",6325,2,0.00211864406779661
"327",11876,1,0.00105932203389831
"328",15514,1,0.00105932203389831
"329",23174,1,0.00105932203389831
