type,downloads,n,pdf,log_x,label
genbank,100,7,0.007,2,-2.15490196
genbank,101,8,0.008,2.004321374,-2.096910013
genbank,102,11,0.011,2.008600172,-1.958607315
genbank,103,8,0.008,2.012837225,-2.096910013
genbank,104,3,0.003,2.017033339,-2.522878745
genbank,105,8,0.008,2.021189299,-2.096910013
genbank,106,10,0.01,2.025305865,-2
genbank,107,14,0.014,2.029383778,-1.853871964
genbank,108,5,0.005,2.033423755,-2.301029996
genbank,109,8,0.008,2.037426498,-2.096910013
genbank,110,9,0.009,2.041392685,-2.045757491
genbank,111,7,0.007,2.045322979,-2.15490196
genbank,112,4,0.004,2.049218023,-2.397940009
genbank,113,6,0.006,2.053078443,-2.22184875
genbank,114,7,0.007,2.056904851,-2.15490196
genbank,115,5,0.005,2.06069784,-2.301029996
genbank,116,6,0.006,2.064457989,-2.22184875
genbank,117,10,0.01,2.068185862,-2
genbank,118,3,0.003,2.071882007,-2.522878745
genbank,119,2,0.002,2.075546961,-2.698970004
genbank,120,4,0.004,2.079181246,-2.397940009
genbank,121,4,0.004,2.08278537,-2.397940009
genbank,122,7,0.007,2.086359831,-2.15490196
genbank,123,5,0.005,2.089905111,-2.301029996
genbank,124,4,0.004,2.093421685,-2.397940009
genbank,125,5,0.005,2.096910013,-2.301029996
genbank,126,6,0.006,2.100370545,-2.22184875
genbank,127,5,0.005,2.103803721,-2.301029996
genbank,128,7,0.007,2.10720997,-2.15490196
genbank,129,1,0.001,2.11058971,-3
genbank,130,5,0.005,2.113943352,-2.301029996
genbank,131,10,0.01,2.117271296,-2
genbank,132,8,0.008,2.120573931,-2.096910013
genbank,133,4,0.004,2.123851641,-2.397940009
genbank,134,6,0.006,2.127104798,-2.22184875
genbank,135,4,0.004,2.130333768,-2.397940009
genbank,136,2,0.002,2.133538908,-2.698970004
genbank,137,7,0.007,2.136720567,-2.15490196
genbank,138,9,0.009,2.139879086,-2.045757491
genbank,139,3,0.003,2.1430148,-2.522878745
genbank,140,4,0.004,2.146128036,-2.397940009
genbank,141,10,0.01,2.149219113,-2
genbank,142,2,0.002,2.152288344,-2.698970004
genbank,143,4,0.004,2.155336037,-2.397940009
genbank,144,4,0.004,2.158362492,-2.397940009
genbank,145,2,0.002,2.161368002,-2.698970004
genbank,146,7,0.007,2.164352856,-2.15490196
genbank,147,7,0.007,2.167317335,-2.15490196
genbank,148,5,0.005,2.170261715,-2.301029996
genbank,149,3,0.003,2.173186268,-2.522878745
genbank,150,4,0.004,2.176091259,-2.397940009
genbank,151,3,0.003,2.178976947,-2.522878745
genbank,152,2,0.002,2.181843588,-2.698970004
genbank,153,4,0.004,2.184691431,-2.397940009
genbank,154,1,0.001,2.187520721,-3
genbank,155,3,0.003,2.190331698,-2.522878745
genbank,156,1,0.001,2.193124598,-3
genbank,157,3,0.003,2.195899652,-2.522878745
genbank,158,2,0.002,2.198657087,-2.698970004
genbank,159,5,0.005,2.201397124,-2.301029996
genbank,160,6,0.006,2.204119983,-2.22184875
genbank,161,5,0.005,2.206825876,-2.301029996
genbank,162,4,0.004,2.209515015,-2.397940009
genbank,163,1,0.001,2.212187604,-3
genbank,164,3,0.003,2.214843848,-2.522878745
genbank,165,7,0.007,2.217483944,-2.15490196
genbank,166,4,0.004,2.220108088,-2.397940009
genbank,167,3,0.003,2.222716471,-2.522878745
genbank,168,2,0.002,2.225309282,-2.698970004
genbank,169,3,0.003,2.227886705,-2.522878745
genbank,170,5,0.005,2.230448921,-2.301029996
genbank,171,3,0.003,2.23299611,-2.522878745
genbank,172,7,0.007,2.235528447,-2.15490196
genbank,173,4,0.004,2.238046103,-2.397940009
genbank,174,4,0.004,2.240549248,-2.397940009
genbank,175,3,0.003,2.243038049,-2.522878745
genbank,176,5,0.005,2.245512668,-2.301029996
genbank,177,6,0.006,2.247973266,-2.22184875
genbank,178,3,0.003,2.250420002,-2.522878745
genbank,179,4,0.004,2.252853031,-2.397940009
genbank,181,9,0.009,2.257678575,-2.045757491
genbank,182,3,0.003,2.260071388,-2.522878745
genbank,183,2,0.002,2.26245109,-2.698970004
genbank,184,3,0.003,2.264817823,-2.522878745
genbank,185,3,0.003,2.267171728,-2.522878745
genbank,187,3,0.003,2.271841607,-2.522878745
genbank,188,7,0.007,2.274157849,-2.15490196
genbank,189,3,0.003,2.276461804,-2.522878745
genbank,190,2,0.002,2.278753601,-2.698970004
genbank,191,7,0.007,2.281033367,-2.15490196
genbank,192,4,0.004,2.283301229,-2.397940009
genbank,193,2,0.002,2.285557309,-2.698970004
genbank,194,2,0.002,2.28780173,-2.698970004
genbank,195,2,0.002,2.290034611,-2.698970004
genbank,196,1,0.001,2.292256071,-3
genbank,197,5,0.005,2.294466226,-2.301029996
genbank,198,1,0.001,2.29666519,-3
genbank,199,3,0.003,2.298853076,-2.522878745
