row,hits,n,prodf
"1",58,2,0.002
"2",59,1,0.001
"3",60,1,0.001
"4",62,2,0.002
"5",63,2,0.002
"6",64,3,0.003
"7",65,6,0.006
"8",66,3,0.003
"9",67,2,0.002
"10",68,9,0.009
"11",69,4,0.004
"12",70,6,0.006
"13",71,6,0.006
"14",72,6,0.006
"15",73,2,0.002
"16",74,6,0.006
"17",75,5,0.005
"18",76,8,0.008
"19",77,8,0.008
"20",78,7,0.007
"21",79,4,0.004
"22",80,8,0.008
"23",81,9,0.009
"24",82,6,0.006
"25",83,11,0.011
"26",84,2,0.002
"27",85,8,0.008
"28",86,5,0.005
"29",87,19,0.019
"30",88,16,0.016
"31",89,10,0.01
"32",90,10,0.01
"33",91,6,0.006
"34",92,8,0.008
"35",93,3,0.003
"36",94,10,0.01
"37",95,5,0.005
"38",96,10,0.01
"39",97,12,0.012
"40",98,10,0.01
"41",99,11,0.011
"42",100,7,0.007
"43",101,8,0.008
"44",102,11,0.011
"45",103,8,0.008
"46",104,3,0.003
"47",105,8,0.008
"48",106,10,0.01
"49",107,14,0.014
"50",108,5,0.005
"51",109,8,0.008
"52",110,9,0.009
"53",111,7,0.007
"54",112,4,0.004
"55",113,6,0.006
"56",114,7,0.007
"57",115,5,0.005
"58",116,6,0.006
"59",117,10,0.01
"60",118,3,0.003
"61",119,2,0.002
"62",120,4,0.004
"63",121,4,0.004
"64",122,7,0.007
"65",123,5,0.005
"66",124,4,0.004
"67",125,5,0.005
"68",126,6,0.006
"69",127,5,0.005
"70",128,7,0.007
"71",129,1,0.001
"72",130,5,0.005
"73",131,10,0.01
"74",132,8,0.008
"75",133,4,0.004
"76",134,6,0.006
"77",135,4,0.004
"78",136,2,0.002
"79",137,7,0.007
"80",138,9,0.009
"81",139,3,0.003
"82",140,4,0.004
"83",141,10,0.01
"84",142,2,0.002
"85",143,4,0.004
"86",144,4,0.004
"87",145,2,0.002
"88",146,7,0.007
"89",147,7,0.007
"90",148,5,0.005
"91",149,3,0.003
"92",150,4,0.004
"93",151,3,0.003
"94",152,2,0.002
"95",153,4,0.004
"96",154,1,0.001
"97",155,3,0.003
"98",156,1,0.001
"99",157,3,0.003
"100",158,2,0.002
"101",159,5,0.005
"102",160,6,0.006
"103",161,5,0.005
"104",162,4,0.004
"105",163,1,0.001
"106",164,3,0.003
"107",165,7,0.007
"108",166,4,0.004
"109",167,3,0.003
"110",168,2,0.002
"111",169,3,0.003
"112",170,5,0.005
"113",171,3,0.003
"114",172,7,0.007
"115",173,4,0.004
"116",174,4,0.004
"117",175,3,0.003
"118",176,5,0.005
"119",177,6,0.006
"120",178,3,0.003
"121",179,4,0.004
"122",181,9,0.009
"123",182,3,0.003
"124",183,2,0.002
"125",184,3,0.003
"126",185,3,0.003
"127",187,3,0.003
"128",188,7,0.007
"129",189,3,0.003
"130",190,2,0.002
"131",191,7,0.007
"132",192,4,0.004
"133",193,2,0.002
"134",194,2,0.002
"135",195,2,0.002
"136",196,1,0.001
"137",197,5,0.005
"138",198,1,0.001
"139",199,3,0.003
