pub_decay_time,data_decay_time,diff,alpha,corr
1,1,0,0.15,0.002949047
1,1,0,0.25,-0.00028876
1,5,4,0.15,0.030796083
1,5,4,0.25,0.028788286
1,20,19,0.15,0.05880996
1,20,19,0.25,0.054750865
5,1,-4,0.15,-0.026677957
5,1,-4,0.25,-0.028129885
5,5,0,0.15,0.008469121
5,5,0,0.25,0.009139841
5,20,15,0.15,0.005302325
5,20,15,0.25,0.006640288
20,1,-19,0.15,-0.053462656
20,1,-19,0.25,-0.055022293
20,5,-15,0.15,-0.037213834
20,5,-15,0.25,-0.035840042
20,20,0,0.15,-0.039362697
20,20,0,0.25,-0.039340495
