doi, downloads, age, type, value
10.6084/m9.figshare.3443876,734,0,data,1.025082689
10.6084/m9.figshare.5384101.v3,22,1,data,0.956639416
10.6084/m9.figshare.6714206.v1,25,0,data,1.375
10.6084/m9.figshare.6791120.v1,13,0,data,1.025862069
10.6084/m9.figshare.900359,144,4,data,0.832467482
10.6084/m9.figshare.1327994,433,3,data,0.861399463
10.6084/m9.figshare.5277025.v1,113,1,data,0.966535547
10.6084/m9.figshare.840512,17,5,data,0.792537512
10.6084/m9.figshare.928547,29,4,data,0.832467482
10.6084/m9.figshare.c.3259513.v1,12,2,data,0.90874132
10.6084/m9.figshare.6571583.v1,4,0,data,1.09375
10.6084/m9.figshare.95927,93,6,data,0.742589996
10.6084/m9.figshare.97388,38,6,data,0.741561846
10.6084/m9.figshare.97572,56,6,data,0.742057597
10.6084/m9.figshare.1321361.v5,729,3,data,0.872338352
10.6084/m9.figshare.5255365.v1,30,1,data,0.965118313
10.6084/m9.figshare.106268,20,5,data,0.781889009
10.6084/m9.figshare.5946970.v1,9,0,data,1.020833333
10.6084/m9.figshare.103117,1405,6,data,0.865818221
10.6084/m9.figshare.3813930.v2,4,2,data,0.906227849
10.6084/m9.figshare.5426518.v1,19,1,data,0.96136456
10.6084/m9.figshare.5900233.v1,3,0,data,1.025862069
10.6084/m9.figshare.6203993,4,0,data,1.016666667
10.6084/m9.figshare.705153,34,5,data,0.783854243
10.6084/m9.figshare.1514976,33,3,data,0.865634933
10.6084/m9.figshare.155796,44,5,data,0.786380973
10.6084/m9.figshare.4224270.v2,62,2,data,0.908955471
10.6084/m9.figshare.5799303,10,0,data,1.044117647
10.6084/m9.figshare.5904904.v1,2,0,data,1.0375
10.6084/m9.figshare.5917384.v1,4,0,data,1.027777778
10.6084/m9.figshare.732736,18,5,data,0.783854243
10.6084/m9.figshare.761186,34,5,data,0.781327513
10.6084/m9.figshare.3190159.v1,18,2,data,0.950822348
10.6084/m9.figshare.5202850,10,1,data,0.961083338
10.6084/m9.figshare.5353630.v1,54,1,data,0.990687485
10.6084/m9.figshare.5394382.v1,93,1,data,1.326229425
10.6084/m9.figshare.642878,35,5,data,0.783854243
10.6084/m9.figshare.692034,35,5,data,0.788907704
10.6084/m9.figshare.747485,47,5,data,0.783854243
10.6084/m9.figshare.103767,13,5,data,0.779578238
10.6084/m9.figshare.1582705.v1,1691,3,data,0.902374643
10.6084/m9.figshare.159692,35,5,data,0.783854243
10.6084/m9.figshare.3397714.v2,238,2,data,0.908596731
10.6084/m9.figshare.4688344.v1,70,1,data,0.953961203
10.6084/m9.figshare.5255368.v1,64,1,data,0.965118313
10.6084/m9.figshare.106409,3,5,data,0.781832859
10.6084/m9.figshare.679840,31,5,data,0.783854243
10.6084/m9.figshare.1471105,169,3,data,0.863643185
10.6084/m9.figshare.5484178.v1,25,1,data,0.959344412
10.6084/m9.figshare.639946,89,5,data,0.788907704
10.6084/m9.figshare.92826,161,6,data,0.766551359
