doi,hits,i,type,age,value,mention,pubmed,,
U00096,2085,102439106,data,22,0.332871941,591,,,
LM999999,83,108031435,data,5,0.778837964,550,,,
JX869059,476,85877258,data,7,0.705372001,96,,,
KJ776791,91,106443386,data,5,0.783854243,96,,,
AM180355,189,89045746,data,14,0.496675544,92,,,
AL111168 AL139074-AL139079,397,96330081,data,19,0.386745632,85,,,
CP000521,613,86057378,data,13,0.522047313,76,,,
AE004092 AE006472-AE006638,185,89692426,data,18,0.406642899,69,,,
AE014613 AE016834 AE016835 AE016836 AE016837 AE016838 AE016839,434,92812381,data,17,0.427415016,68,,,
AE005176 AE006239-AE006456,131,103480815,data,18,0.406569671,52,,,
AP006725 AB371288,146,89046771,data,15,0.472383578,47,,,
GU734771,122,106916127,data,9,0.63767443,45,,,
FN433596,105,110927912,data,10,0.606561512,44,,,
AE016853 AE016856-AE016876,383,90081756,data,16,0.449328966,43,,,
CP001363,283,110380117,data,10,0.606576938,43,,,
FN545816,181,108198923,data,10,0.606549697,41,,,
L43967 U39679-U39729,101,89154444,data,24,0.301194286,41,,,
AY446894 AY156043 AY169797 AY325310,160,98022562,data,17,0.427421921,39,,,
GU214026,138,105744686,data,10,0.606534998,39,,,
CP000438 AABQ07000000 AABQ07000001 AABQ07000002 AABQ07000003,278,92949698,data,13,0.522047472,35,,,
AM406671,130,93727026,data,13,0.522050385,34,,,0.35804693
CP009273,256,98154741,data,5,0.783854243,33,,,-0.216118974
CP000410,174,95422477,data,13,0.522050385,30,,,
FR821779,122,91808369,data,8,0.670445845,29,,,
JQ673480,117,92492134,data,7,0.705372001,28,,,
CP001918,108,109211251,data,9,0.637659004,27,,,
BA000016 AP003185-AP003194,181,110378726,data,18,0.40656966,26,,,
CP000058 AAEZ01000000 AAEZ01000001-AAEZ01000028 AY922993,688,104399713,data,14,0.496585512,24,,,
AP008934,329,109078815,data,14,0.496585322,24,,,
AE014299 AE015452-AE015908,164,100877662,data,17,0.427679055,24,,,
CP009072,178,91386629,data,5,0.783854243,23,,,
BX571965,103,99584992,data,15,0.472366561,23,,,
CP000113,191,94771127,data,14,0.496585331,21,,,
FN649414,157,89856597,data,10,0.606539915,21,,,
AM408590,111,110116926,data,13,0.522045884,21,,,
AE004437 AE004970-AE005139,170,100747922,data,19,0.386741024,18,,,
CP000814,540,101404122,data,12,0.548816244,16,,,
AP012280,78,109597627,data,8,0.670571643,14,,,
FR821777,114,92328371,data,8,0.670445845,13,,,
CP009361,192,108301519,data,5,0.781327513,12,,,
AY048742,220,105569244,data,18,0.40656966,11,,,
AY048743,141,101922170,data,18,0.40656966,11,,,
AY048744,172,93597773,data,18,0.40656966,10,,,
BA000011 AP000991-AP000996,100,101923140,data,19,0.386741024,10,,,
KF769016,89,89267260,data,6,0.740947797,9,,,
CP002585,117,105050663,data,8,0.670571643,8,,,
CP011331,135,108301524,data,4,0.818935779,6,,,
AM711867,95,109987826,data,12,0.548815812,6,,,
CP011882,306,102185441,data,4,0.819385846,3,,,
AF250365,176,110373737,data,19,0.386741024,3,,,
KR052508,109,94476545,data,4,0.820693143,3,,,
CP005969,107,88139357,data,6,0.740970851,3,,,
HM441076,106,88575531,data,9,0.63775395,3,,,
CP011495,103,100234541,data,4,0.825599118,3,,,
FO203501,217,96231210,data,7,0.70469489,2,,,
KJ668651,248,99935680,data,5,0.778945168,1,,,
AY187314,239,85535510,data,17,0.427414933,1,,,
KP899260,235,95777832,data,4,0.820693143,1,,,
CP007653,231,92688274,data,5,0.779857455,1,,,
CP011305,197,106742316,data,4,0.823309663,1,,,
AF078897,151,110243890,data,21,0.34993775,1,,,
KR061299,135,110866373,data,4,0.818730769,1,,,
AY187315,128,93987549,data,17,0.427414933,1,,,
HM071586,126,111074308,data,9,0.637628279,1,,,
KC810021,119,108255384,data,6,0.740854673,1,,,
KM593907,97,95775894,data,5,0.779075518,1,,,
CM000685,68,93210252,data,6,0.740818229,1,,,
AY156789,62,102052365,data,17,0.427414932,1,,,
BC005255,316,101273107,data,18,0.40656966,0,,,
KP659661,273,104494002,data,4,0.819016935,0,,,
FJ027496,210,109237237,data,11,0.576949831,0,,,
BC058831,205,95941581,data,16,0.449328964,0,,,
KJ796484,147,106833373,data,5,0.778995147,0,,,
LC057588,87,100081729,data,4,0.818801928,0,,,
KJ796490,75,94732259,data,5,0.778995147,0,,,
HE966984,73,103661431,data,7,0.704688627,0,,,
JW868382,70,88739010,data,7,0.704688374,0,,,
AE014075 AE016755 AE016756 AE016757 AE016758 AE016759 AE016760,1366,106475622,data,17,0.427414933,,,,
BX571856,869,103878376,data,15,0.47236656,,,,
AE014297 AE002644 AE002699 AE002708 AE003216 AE003600-AE003607,670,110634294,data,19,0.387885756,,,,
CP012870,644,93470301,data,4,0.823309663,,,,
AE014298 AE002566 AE002593 AE002611 AE002620 AE002629 AE002634,595,96977869,data,19,0.387885756,,,,
DQ384110 AF014054 AF067140 AF402596 AY237541 X98117,586,91649603,data,23,0.316636854,,,,
CP000948,549,110900207,data,11,0.576962337,,,,
AE004091 AE004440-AE004968,534,89952005,data,19,0.386742514,,,,
AM743169,481,94898411,data,12,0.548817899,,,,
AL009126 Z99104-Z99124,472,96199776,data,22,0.333802605,,,,
AE014134 AE002603 AE002637 AE002638 AE002655 AE002663 AE002690,458,91250829,data,19,0.387885756,,,,
CP002818,431,101014599,data,8,0.670351133,,,,
AP009048 AB001340 D10483 D26562 D83536 D90699-D90711 D90713-D90754,431,86054954,data,14,0.496586161,,,,
U61276,409,85530296,data,23,0.31663677,,,,
CP000702 AAWB01000000 AAWB01000001-AAWB01000047,395,101664635,data,12,0.548812582,,,,
AL590842 AJ414141-AJ414160,384,95028323,data,18,0.406569702,,,,
AE013599 AE002575 AE002640 AE002644 AE002709 AE002726 AE002769,362,93333757,data,19,0.387885756,,,,
AP007209,354,106999933,data,15,0.472480538,,,,
HG738867,334,98978961,data,6,0.740861785,,,,
JQ250035,328,96137338,data,8,0.671003958,,,,
CP003150,327,100234511,data,8,0.671003958,,,,
CP012868,309,99325640,data,4,0.823309663,,,,
FR682468,307,91678408,data,9,0.637638216,,,,
AE014296 AE002603 AE002637 AE002638 AE002655 AE002663 AE002690,300,93073211,data,19,0.387885756,,,,
