hits,Nuccore_GI,Accession
2644,332189094,CP002684
3186,186429,J00265
1811,47118301,BA000007 AP002550-AP002569
2085,545778205,U00096
1266,26284449,AF511507 AF306454 AF380944
1433,202471,M57671
1293,208958,J01749 K00005 L08654 M10282 M10283 M10286 M10356 M10784 M10785
1031,211938484,BT050432
1366,26111730,AE014075 AE016755 AE016756 AE016757 AE016758 AE016759 AE016760
1290,23491728,AB082923
955,55417888,BA000005
1051,332002898,CP002688
864,89242605,DQ401362
927,30089982,BL000002
816,568336023,CM000663
1042,332640072,CP002686
1019,215104,J02459 M17233 M24325 V00636 X00906
1285,41296,X01714
1026,30230490,AY258598
988,30230488,AY258597
1097,5726577,AF170104
981,444893469,AL123456 BX842572-BX842584
775,4558520,AF033819
804,6691170,M77789 M11662
763,5421849,AB021961
599,1871572,Y08520
680,330250293,CP002685
960,1293613,U49845
670,667677333,AE014297 AE002644 AE002699 AE002708 AE003216 AE003600-AE003607
775,30171326,AY259214
654,332656411,CP002687
817,78064651,DQ205415
869,49240382,BX571856
590,1490531,U62637
827,56384585,AE005174 AE005177-AE005671 AE006457 AE006458 AE006459 AE006460
565,30407153,AL645882
595,667695275,AE014298 AE002566 AE002593 AE002611 AE002620 AE002629 AE002634
654,182396,M74088
644,937526251,CP012870
827,669026884,HG670306
595,1377911,U55762
469,418058,L21889
504,4193488,AF099138
787,14456718,L40804
433,418052,L21883
434,418045,L21890
423,418048,L22164
408,1871553,Y08521
516,209211,L08752
376,193850605,EU754933
547,10141003,AF086833
650,110265149,AY260764
481,455025,U01317 J00093 J00094 J00096 J00158-J00175 J00177 J00178 J00179
447,442769443,JQ844139
583,54402286,AY626143
391,39754771,AY450847
553,186431,J00265
391,74273681,CM000252 AADB02000000 CH003472
517,2443576,AF018430
534,110227054,AE004091 AE004440-AE004968
475,1906382,K03455 M38432
450,174375,J01859 K02555 M24828 M24833 M24834 M24835 M24836 M24837 M24911
483,2735291,U90223
458,667674288,AE014134 AE002603 AE002637 AE002638 AE002655 AE002663 AE002690
418,30407157,AL513382 AL627265-AL627284
569,6721141,AC009028
472,225184640,AL009126 Z99104-Z99124
434,29140506,AE014613 AE016834 AE016835 AE016836 AE016837 AE016838 AE016839
411,19569229,AF485783
341,1698398,L78833
371,37953274,AY365046
362,667676433,AE013599 AE002575 AE002640 AE002644 AE002709 AE002726 AE002769
384,30407161,AL590842 AJ414141-AJ414160
431,85674274,AP009048 AB001340 D10483 D26562 D83536 D90699-D90711 D90713-D90754
349,90296488,DQ283319
549,169887498,CP000948
613,126385999,CP000521
1132,28849864,AY219847
354,358350621,AP007209
351,160796,M85050
390,610413304,CP007224
476,409052551,JX869059
284,21392145,AY118398
300,667677299,AE014296 AE002603 AE002637 AE002638 AE002655 AE002663 AE002690
351,109893890,DQ659148
235,1911545,S80939
336,3041866,U94788
295,51847843,BL000001
334,557270520,HG738867
306,31742509,BX248333 BX248334-BX248347
336,7638068,AF234297
327,155662,M62654
344,1490528,U62636
270,675272403,KJ840920
242,925718359,KT447993
288,20141090,L09137 X02514
342,923416119,CP011113
481,190010013,AM743169
397,30407139,AL111168 AL139074-AL139079
298,24210021,AY156807
331,555931,U14680
287,5421827,AB020317
281,642988755,KJ593146
484,87125858,CP000255
316,13528923,BC005255
269,1161383,U43746
287,25307999,AE006914 AE008569-AE008682
383,28856110,AE016853 AE016856-AE016876
208,3219514,AF069428
268,1377914,U55763
216,531871769,KF522100
384,899729770,CP012127
409,1438936,U61276
221,256855589,FN397219
346,87201381,CP000253
290,597512677,FO834906
329,72493824,AP008934
414,181303,M33388
273,339959396,HQ849547
248,663085256,KJ668651
238,440584190,HE855663
405,47118324,BA000018 AP003129-AP003138
273,770542044,KP659661
283,92839210,DD148865
289,108671044,DQ659327
254,113200490,J01415 M12548 M58503 M63932 M63933
278,115583796,CP000438 AABQ07000000 AABQ07000001 AABQ07000002 AABQ07000003
223,930588848,LC085661
240,55417891,BA000014
269,54648677,BC085096
235,836714879,KP899260
380,302313136,GU324922
190,576896669,KF892541
285,1279604,Z71230
287,2282011,AC002390
222,15554345,AY048746
237,181856,M18533 M17154 M18026 M20250
241,781869700,AB981583
227,349734069,JF923572
217,499069221,JX903612
212,326534281,AK358277
202,606383,L29345
201,849388179,AB976691
239,193734504,EU621627
213,929653590,LC057589
223,802133627,LN832404
327,359757955,CP003150
181,24210017,AY156803
199,333826818,JF909299
342,37499464,AY422952
309,937517453,CP012868
205,20502193,AJ427289
659,340511357,HM850029
232,60653020,AY892288
386,133711986,EF450778
328,372124981,JQ250035
208,3646312,X92715
276,49243355,BX571857
220,529396,M28443
241,823674677,KR712168
187,149999561,EF694056
278,347014914,JF967607
188,337376,M10098
198,81295097,AJ810452
280,939732440,CP011343
201,116832127,DQ432877
210,197255239,FJ027496
181,2826789,Z47544
192,34190730,BC047343
256,823673231,KR711445
187,117372067,DQ434522
194,197255333,FJ027543
199,936626755,KR297238
191,169882338,EU525299
255,190904504,AAJT02000003 AAJT02000000
182,116831779,DQ432703
232,160793,M15077
194,193734486,EU621618
247,2443579,AF018429
340,313848522,AM946981
179,375332227,JQ064510
266,406610003,AB115331
226,921956262,KT232076
293,12057212,AE003852 AE004093-AE004343
179,197255407,FJ027580
688,71553748,CP000058 AAEZ01000000 AAEZ01000001-AAEZ01000028 AY922993
181,116876223,DQ433281
208,13310415,AF336368
208,60491031,CR626927
306,846133629,CP011882
191,169882690,EU525475
235,175444,M59290
251,1763717,L08072
188,55417890,BA000010
197,2443575,AF018429
183,426205047,JX867103
162,45549380,AY566403
233,853752,Z49782
213,333031,K02718
202,42494966,AJ270060
231,965480,J02400 J02402 J02403 J02406 J02407 J02408 J02409 J02410 J04139
562,12057206,AE001273 AE001275-AE001361
193,193882443,EU414258
211,13752444,AF353511
283,267991652,CP001363
161,371561115,CM000994
253,154154,M90846
215,155660,M62653
246,187582,M14603
212,7638064,AF234296
242,1890179,Z92910
225,296556482,AF324493
217,499527875,FO203501
256,682117612,CP009273
229,926451317,LN871187
195,21905618,AE014074 AE014136-AE014172
181,287450,D14876
165,74422211,CM000231 AAHX01000000
275,14211959,AY033619
169,803773882,KR063672
215,178509,M57427 M33776
330,1877220,Z83834
159,307071,L15440
151,150125,J01745 J01746
266,150373012,AP009351
400,2149508,U87079
178,265385490,FJ788217
196,94734074,V01555 J02070 K01729 K01730 V01554 X00498 X00499 X00784
255,148744,M24774
165,191273,K02233
333,323933,M25381 M25729
172,454921,X77696
234,930584899,AP014942
184,1199939,D83357
162,146575,J01636 J01637 K01483 K01793
171,187580,M10090
159,22002119,AE009952 AE013601-AE014015
228,294960012,GU947021
206,29899096,AE016877 AE016998 AE016999 AE017000 AE017001 AE017002 AE017003
539,309242176,FN825819
181,3335629,AF074970
217,441494908,KC243783
147,13195703,U47295
130,186972420,EU496284
239,301156631,FQ312003
314,404251577,JX274673
175,690969141,LN515608
202,155128,J04639 M26480
192,2739230,AJ001596
187,29161815,AX659633
216,296142109,CP001509
185,602625715,AE004092 AE006472-AE006638
148,669193785,KM099237
266,225131030,FJ525876
168,53680575,AY618199
251,427379266,JX910446
150,568336013,CM000673
385,572168579,KC954622
247,667689599,CP008957
398,74315445,DQ156484
159,1041217,U28006
161,178343,M12523 J04457
191,828177937,KT006149
161,918400561,LC072891
220,15554329,AY048742
454,37574493,AY118261
249,451779298,CP003265
188,5327209,AJ239311
159,862698,U26044
205,154350369,CP000560
172,15554335,AY048744
144,2440162,Y14837
385,269924919,GU169598
167,35126,X13403
392,726462,U15762
203,937893927,AP014957
402,18024762,AY008909
353,20805654,AF487546
184,2924603,D50842
155,44116,X56153
160,4775518,AJ231190
155,555853,U13369
486,12275148,AJ133250
171,180331,M28668
239,28195708,AY187314
156,43618,X00662
209,440658389,KC188752
141,734521682,KM519788
147,735687601,KF735877
160,87042723,DQ355148
174,116075884,CP000410
225,2253431,AF007546
141,557786680,KF572430
398,577141849,AY823700
262,732682658,CP009685
327,7770098,AB042432
177,823672837,KR711248
231,899756207,CP012119
390,12958118,AF203496
540,157385286,CP000814
176,200202,M13874
148,295901481,AB559564
157,332742348,CM001165 AFHJ01000000
191,42602314,BA000036 AP005274-AP005283
166,5332357,AF092448 AF121103 AF157635
189,115249003,AM180355
131,221612,D11168 D01171
141,37986,X14440
197,8099613,AF248487
270,106896191,DQ525277
197,11095297,AF302689
144,1430889,X99044
160,155573956,AY446894 AY156043 AY169797 AY325310
152,16151096,AY047586
118,1871550,Y08511
178,30043918,AE014073 AE016978 AE016979 AE016980 AE016981 AE016982 AE016983
235,109675100,DQ648860
164,11385836,AF296171
136,147743335,EF550208
130,2,A00002
232,290782652,FJ716094
171,485091803,CP005080
134,6103618,AF167367
191,108460647,CP000113
139,154677,M38637 M20822
153,2169565,E01306
151,4092046,AF078897
169,59585,X04615
147,672234581,KJ796484
177,698628484,KM582068
211,113206403,DQ845340
280,145902672,CP000002
144,23986708,AY138589
147,27497639,AY167819
174,30260185,AE016879 AE017024 AE017025 AE017026 AE017027 AE017028 AE017029
143,255528741,AE014187 AE014816 AE014817 AE014818 AE014819 AE014820 AE014821
150,27528309,AJ491881
154,307215613,FN869568
163,344051090,JN410324
122,402796214,AB713309
176,829021049,KT029139
195,109675098,DQ648859
153,344051118,JN410338
141,440658437,KC188776
273,4732144,AF136270
219,937297913,CP012802
149,212504,J00895 M24999
125,2811127,AF013216 U81372
141,30582454,BT006808
293,6626253,AE000511 AE000523-AE000656
131,926539508,CP012633
181,13991045,AF187711
146,1944536,X14112 D00317 D00374 D10879 S40593
126,298107036,HM071586
167,374265566,FN997299
121,440584194,HE855665
127,440658429,KC188772
141,440658433,KC188774
165,47118304,BA000022 AB001339 D63999-D64006 D90899-D90917
277,52346357,AE017333
175,6759902,AF137273
108,718464531,LC008492
160,728882887,CP010052
138,2605880,AF028820
134,344051110,JN410334
138,49609491,BX950851
140,7638073,AF234298
135,928436939,KR061299
141,15554332,AY048743
119,260678806,GU065289
128,344051112,JN410335
140,58255,X06403
141,9408391,AF222029
586,108756761,DQ384110 AF014054 AF067140 AF402596 AY237541 X98117
155,124303244,EF192231
233,209171582,EU938525
173,57284222,CP000046
218,7578773,AF222792
138,281199965,GU214026
172,310757277,HQ271348
106,347582097,AB462165
144,440658439,KC188777
147,44894848,AY534343
170,46854678,BC069452
173,690310687,CP009480
113,730054699,KM505042
120,931620420,LC086648
200,106896185,DQ525274
138,109675112,DQ648866
133,119668705,AM406670
165,18088325,BC020633
134,214170,M76564
207,34105712,AE016825 AE016910 AE016911 AE016912 AE016913 AE016914 AE016915
166,506954254,JX472995
126,55535618,AY738222
127,5777927,AF036283
231,749168891,CP010436
158,798546650,KP702293
139,9802301,AF261085
170,12057215,AE004437 AE004970-AE005139
131,2138276,U77384
166,22726511,AF418014
133,2731849,AF030604
126,3483172,AJ222682
138,552572568,GK000031
137,6572414,Z86099
173,926663056,KT225476
229,150953431,CP000647
118,409102,U02458
178,674299053,CP009072
189,106896187,DQ525275
121,208436395,FJ217162
117,213695,M38195
135,23274247,BC035912
143,644773,U18557
231,861210305,CP007653
113,559147998,KF661548
120,828364435,KR476791
179,937305921,CP012756
184,106896151,DQ525257
168,159141737,AE007871 AE007923-AE007942 AE008690 AE009418-AE009438
226,18369733,AJ311677
132,33591069,BX470248
147,846281253,KP272131
164,927048389,CP010890
188,927993303,CP012679
177,106896149,DQ525256
102,152479,M21789
102,1865789,Z83205
107,190684782,AC186061
122,922171454,LM652708
176,106896177,DQ525270
177,106896181,DQ525272
134,134215177,AM270980
137,15212919,AY041019
91,18448005,AF285961
152,193804931,AE005672 AE007318-AE007511
140,257122962,FJ716083
122,51950356,AJ812285
97,60652014,AY835777
174,106896121,DQ525242
172,106896175,DQ525269
191,106896183,DQ525273
139,167390,M15203
160,218430358,CU928163
146,345287734,AE014133 AE014853-AE015037
130,749193065,CP007027
174,106896123,DQ525243
170,106896129,DQ525246
172,106896145,DQ525254
169,106896179,DQ525271
99,1240023,X80724
132,209210,L09136
117,238631963,CM000759 ACNL01000000
150,26245446,AY158467
114,2695690,AF036760
103,33860540,AY354458
115,344051102,JN410330
98,49417,Z21856
110,654190984,KJ541672
134,6653502,AF195955
115,803773858,KR063671
153,933516358,CP012374
107,335882995,JF972939
193,33930,V00565
126,36162,X03205
127,374352002,CP003278
111,397970,M37645
113,760489113,KP280003
106,906394940,KT031982
165,106896173,DQ525268
137,21104391,AB062273
128,21389151,AF406991
166,306743,M97164
91,359804462,AB680086
202,4099437,U87251
89,44885278,AJ566640
101,58071,X04879
110,823670799,KR710229
137,82571471,BC110286
105,883877644,KR732918
145,937906879,AP014959
161,106896127,DQ525245
165,106896139,DQ525251
170,106896159,DQ525261
165,106896163,DQ525263
92,152218522,EU009186
132,189936,K03020
90,327180541,FR799687
189,353260843,JN555585
89,354686436,JN227852
92,359803181,AB682267
205,37573994,BC058831
88,395938,X67613
181,47118322,BA000016 AP003185-AP003194
117,49644219,CR382126
92,568336007,CM000679
101,7638145,AF234315
290,897611,L41589
149,928084184,CP012681
109,13991035,AF187706
146,14336674,AE006462 AE005175
116,177967,M10277
102,180285,M65197
111,227809838,FJ966086
141,25307955,AE007317 AE008385-AE008568
107,350285453,JN613429
179,4454320,AJ132803
106,45438631,AE017042
170,47118312,BA000033 AP004822-AP004831
136,47208328,BA000017 AP003358-AP003366
122,692106823,LK021130
176,13260589,AF250365
197,1943996,AB001981
114,215434894,FJ437239
137,28460836,AC132217
141,29350190,AE016830 AE016947 AE016948 AE016949 AE016950 AE016951 AE016952
182,30407130,AL954747 AABB02000001 BX321856
157,309700213,FN649414
86,32401275,AF541999
101,71842618,DQ097174
96,122703324,AB289767
87,1255976,X96964
123,134215694,AM270981
110,179033,M34233
132,183156,M13438
99,186437,M10039
536,225719968,CP000918
107,2316097,AF009606
124,307184,L11285
149,436408983,KC312605
142,47118316,BA000040 AP005935-AP005965
121,628075004,CP007136
100,7769684,AF254446
183,926,X56391
123,927989386,CP011455
91,1240022,X80725
89,1240064,X80681
114,209943911,EU888127
172,242381174,FP245408
118,261853473,GQ994935
222,292353,M89914
175,56928,X15800
148,808732710,CP010445
110,923105817,CP012506
100,937521852,CP012869
106,108705663,DP000009
106,182197,M11319
99,210811,M62738
114,222031834,CU651637
145,2653291,AJ004801
109,336024847,CP002279 ACZA01000000 ACZA01000001-ACZA01000089
128,338666,M26657
431,449036831,CP002818
100,63580,V00428
97,855197591,KM593907
116,92133207,BD295340
87,157063,M17211
95,2511738,AF022648
161,342240345,AL935263 AL935252-AL935262
116,347503,L22158
177,50882490,AY583463
113,557696180,KC439514
110,13991067,AF187722
395,147734689,CP000702 AAWB01000000 AAWB01000001-AAWB01000047
89,15638860,AC073210
148,184369,M26434 J00205 M27558 M27559 M27560 M27561 M29753 M29754 M29755
140,219879600,FJ527563
122,290766003,GU734771
162,364515570,CP003200
90,426205045,JX867102
85,693961,X82296
127,7018282,X65304
83,928541549,KT591491
125,118168627,CP000480
125,160367075,CP000730
147,162423561,EU165008
158,172046403,AM942759
289,181960,M15887
104,1842229,U50395
132,305690546,HM852952
88,403410251,AB746465
88,403410259,AB746469
103,407955691,AP012495
88,426205039,JX867099
218,525298,X75074
133,555988,U15145
109,59717368,AE004969
103,716056622,AP014680
89,74273680,CM000253 AADB02000000 CH003473
111,7717237,S72493
109,822581060,KR052508
103,857137982,CP011495
104,86261677,AJ507799
97,11125727,M96262
80,1532217,U68496
81,154425197,AM493869
138,169884305,CP000951
101,176550,K01786
86,198880,M17015
94,203323,M25670 M23742
181,21166373,AE008922 AE012093-AE012552
150,25168256,AE001437 AE007513-AE007868
102,255672756,AP008207 AP006867
87,339759487,AB645856
110,37209,X02910 X02159
87,377823642,AB699269
87,377823644,AB699270
87,377823646,AB699271
87,403410247,AB746463
87,403410249,AB746464
87,403410253,AB746466
87,403410255,AB746467
88,403410257,AB746468
102,40949,V00259
131,4097807,U68174
88,426205035,JX867097
87,426205037,JX867098
87,426205041,JX867100
87,426205043,JX867101
88,508078138,CM001879 ALXC01000000
103,511930,D26583
119,513134461,KC810021
87,546199674,AB778052
188,703576232,CP009554
97,74273671,CM000262 AADB02000000 CH003482
117,917657445,KR827684
191,1122442,U37133
116,119068009,EF112445
76,18074245,AJ389529
117,188035764,AB300824
116,2443578,AF018432
105,269939526,FN433596
112,2731620,G36438
128,28195709,AY187315
128,431915,V01498 J01579 J01580 V00253 V01497
81,62240389,AY846388
89,674810549,KJ660346
110,7638149,AF234316
143,12057207,AE001439 AE001440-AE001571
143,27316888,AE015929 AE016744 AE016745 AE016746 AE016747 AE016748 AE016749
102,28170643,AJ537514
126,291065637,GQ331973
101,31224,X02158
95,35213,X54156
95,361057412,CP003178
98,575524847,KF857179
84,684650718,KM001863
86,74273665,CM000268 AADB02000000 CH003488
120,76559634,Z00044 S54304
96,827409863,CP010867
94,937501566,KR360722
98,994,V00179 J00042
182,11640,X04465 Y00686
109,161144,M27704 J05102
98,261958,S51329
122,366090993,JN874646
117,380776962,JQ673480
111,512527,A17930
90,58416121,AJ865385
108,767259357,CP011006
98,824555734,AB987775
94,86279771,CP000133
87,929653585,LC057588
98,115254414,AM236080
125,178145,M84402 M68895
87,195972535,AM948965
