DOI_i,i,value,year,type,age,Hits,n_citations,pub_decay_time,data_decay_time,alpha
25168256,1340029796360,0.0674915727714475,2001,data,17,150,1,1,1,0.25
313496345,781684047999,0.90022254758884,2010,data,8,107,1,1,1,0.25
348031532,1546188226714,0.3383695388259061,2011,data,7,78,1,1,1,0.25
261853473,377957122200,0.04511776405213355,2009,data,9,118,1,1,1,0.25
124491690,395136991316,0.042188351319897274,2006,data,12,130,1,1,1,0.25
22002119,1082331758614,0.13498317527931533,2002,data,16,159,1,1,1,0.25
327374765,111669149836,0.540844132942117,2011,data,7,117,1,1,1,0.25
269939526,1022202216548,0.09653988319275855,2009,data,9,105,1,1,1,0.25
407955691,1382979469509,0.5745002365516664,2012,data,6,103,1,1,1,0.25
16551188,1348619730959,0.1799774583915647,2001,data,17,107,1,1,1,0.25
45438631,42949673013,0.4499438483827892,2003,data,15,106,1,1,1,0.25
57158257,472446402679,0.08998954002481285,2004,data,14,146,1,1,1,0.25
358350621,292057776265,0.10096236999025757,2004,data,14,354,1,1,1,0.25
254000649,755914244217,0.10810985999939918,2009,data,9,134,1,1,1,0.25
342240345,1073741824139,0.078045060676492,2011,data,7,161,1,1,1,0.25
30407161,1468878815260,0.11248592701949438,2001,data,17,384,1,1,1,0.25
290766003,824633720935,0.05225202522180276,2010,data,8,122,1,1,1,0.25
30043918,1099511627799,0.06135605014614774,2002,data,16,178,1,1,1,0.25
13310415,790273982486,0.15880364462777788,2001,data,17,208,1,1,1,0.25
30407130,541165879329,0.06584550899573112,2002,data,16,182,1,1,1,0.25
1438936,661424963584,0.13498306302308744,1996,data,22,409,1,1,1,0.25
29140506,558345748508,0.14998129336199764,2002,data,16,434,1,1,1,0.25
71553748,1529008357430,0.0710459775631652,2005,data,13,688,3,1,1,0.25
71553748,111669149757,0.0710891171635207,2008,data,10,688,3,1,1,0.25
71553748,154618822707,0.07104986144611154,2006,data,12,688,3,1,1,0.25
169887498,403726925912,0.13502846267390312,2008,data,10,549,1,1,1,0.25
374352002,798863917228,0.1759162521766664,2012,data,6,127,1,1,1,0.25
150373012,111669149782,0.11739327800004294,2007,data,11,266,1,1,1,0.25
295054830,1202590842980,0.30029782428154833,2010,data,8,108,1,1,1,0.25
44885278,1537598292010,0.29996266755596634,2003,data,15,89,1,1,1,0.25
364515570,833223655567,0.30087424361920034,2011,data,7,162,1,1,1,0.25
116075884,197568495686,0.03802954216844928,2006,data,12,174,1,1,1,0.25
117558854,541165879375,0.05399936931000958,2006,data,12,126,1,1,1,0.25
160367075,1451698946117,0.06750823307286055,2007,data,11,125,1,1,1,0.25
220962111,523986010244,0.1294498222210315,2013,data,5,104,4,1,1,0.25
220962111,687194767459,0.12283528502603272,2009,data,9,104,4,1,1,0.25
220962111,352187318376,0.12362375718750056,2011,data,7,104,4,1,1,0.25
220962111,1537598292105,0.12304733784984855,2010,data,8,104,4,1,1,0.25
306526293,670014898315,0.30029782428154833,2010,data,8,96,1,1,1,0.25
32401275,1073741824041,0.10798656273048723,2002,data,16,86,1,1,1,0.25
410519462,1486058684431,0.2249718837754091,2002,data,16,164,4,1,1,0.25
410519462,953482739732,0.22745052341690075,2012,data,6,164,4,1,1,0.25
30407139,1322849927169,0.07104986144611154,2006,data,12,397,2,1,1,0.25
30407139,661424963588,0.07104373246373796,2000,data,18,397,2,1,1,0.25
25168256,1340029796360,0.02343754139937719,2001,data,17,150,1,1,1,0.5
313496345,781684047999,0.3128354626279025,2010,data,8,107,1,1,1,0.5
348031532,1546188226714,0.11809938196555451,2011,data,7,78,1,1,1,0.5
261853473,377957122200,0.015748409804086677,2009,data,9,118,1,1,1,0.5
124491690,395136991316,0.014654581712353329,2006,data,12,130,1,1,1,0.5
22002119,1082331758614,0.04687511253517473,2002,data,16,159,1,1,1,0.5
327374765,111669149836,0.18841188196555453,2011,data,7,117,1,1,1,0.5
269939526,1022202216548,0.03360555266122953,2009,data,9,105,1,1,1,0.5
407955691,1382979469509,0.23685375217666635,2012,data,6,103,1,1,1,0.5
16551188,1348619730959,0.06250004139937719,2001,data,17,107,1,1,1,0.5
45438631,42949673013,0.1562503059023205,2003,data,15,106,1,1,1,0.5
57158257,472446402679,0.0312508315287191,2004,data,14,146,1,1,1,0.5
358350621,292057776265,0.0576931392210268,2004,data,14,354,1,1,1,0.5
254000649,755914244217,0.03762340980408668,2009,data,9,134,1,1,1,0.5
342240345,1073741824139,0.027697596251268802,2011,data,7,161,1,1,1,0.5
30407161,1468878815260,0.03906254139937718,2001,data,17,384,1,1,1,0.5
290766003,824633720935,0.018364308781748665,2010,data,8,122,1,1,1,0.5
30043918,1099511627799,0.0213069307169929,2002,data,16,178,1,1,1,0.5
13310415,790273982486,0.0551471002229066,2001,data,17,208,1,1,1,0.5
30407130,541165879329,0.022865966193711305,2002,data,16,182,1,1,1,0.5
